CSKA;RUS;79;VEB Arena;Dmitriy Igdisamov;RUS;EA1806;04153C;30000
Egor Besaev;G;RUS;N;20;D;N;Col;For;0
Igor Akinfeev;G;RUS;N;40;D;N;Col;For;0
Maksim Borisko;G;RUS;N;26;D;N;Sgo;Con;0
Vladislav Torop;G;RUS;N;22;E;S;Sgo;For;0
Matheus Reis;L;BRA;N;31;E;N;Cru;For;4
Milan Gajic;L;SRB;N;30;A;N;Cru;For;0
Moisés;L;BRA;N;31;E;S;Pas;Res;0
Ramiro Di Luciano;L;ARG;N;22;D;N;Cru;Ace;0
Abdulkadyrov;Z;RUS;N;21;E;N;Cab;Imp;0
João Victor;Z;BRA;N;28;D;S;Mar;Con;0
Kirill Danilov;Z;RUS;N;19;E;S;Des;Vel;0
Matvey Lukin;Z;RUS;N;22;D;N;Mar;For;0
Artem Bandikyan;V;ARM;N;20;D;N;Ant;Res;0
Dmitriy Barinov;V;RUS;N;29;A;S;Mar;For;0
Danil Krugovoy;M;RUS;N;28;E;S;Pas;Vis;0
Danila Kozlov;M;RUS;N;21;D;N;Chu;Res;0
Ivan Oblyakov;M;RUS;N;28;E;S;Fin;Fri;0
Matheus Alves;M;BRA;N;21;D;N;Arm;Cri;0
Matija Popović;M;SRB;N;20;D;S;Dri;Vis;0
Matvey Kislyak;M;RUS;S;21;D;S;Pas;Vis;0
Artem Serikov;P;RUS;N;19;D;N;Arm;Vel;0
Henrique Carmo;P;BRA;N;19;E;N;Cru;Vel;0
Imran Firov;P;RUS;N;18;D;N;Pas;Cri;0
Kirill Glebov;P;RUS;N;20;D;S;Cru;Ace;0
Artem Shumanskiy;A;BLR;N;21;D;N;Fin;Imp;0
Luciano Gondou;A;ARG;N;25;E;S;Fin;Imp;6
Maksim Voronov;A;RUS;N;18;D;N;Chu;Res;0
Tamerlan Musaev;A;RUS;N;25;D;N;Fin;Fri;0
