Krasnodar;RUS;85;OZON Arena;Murad Musaev;RUS;005C34;FFFFFF;35000
Aleksandr Koryakin;G;RUS;N;24;E;N;Sgo;Fle;0
Roman Safronov;G;RUS;N;23;D;N;Rbo;Imp;0
Stanislav Agkatsev;G;RUS;N;24;D;S;Ref;Fle;0
Artem Khmarin;L;RUS;N;19;E;N;Pas;Agi;0
Ilya Vakhania;L;RUS;N;25;A;S;Cru;Vel;0
Lucas Olaza;L;URY;N;32;E;S;Cru;Res;0
Sergey Petrov;L;RUS;N;35;D;N;Des;For;0
Diego Costa;Z;BRA;N;27;D;N;Mar;Res;0
Jubal;Z;BRA;N;32;D;S;Pos;For;0
Valentin Paltsev;Z;RUS;N;25;D;N;Des;Vel;0
Vitaliy Stezhko;Z;RUS;N;29;D;N;Ant;Res;0
Vítor Tormena;Z;BRA;N;30;D;S;Mar;Imp;0
Aleksandr Chernikov;V;RUS;N;26;D;S;Mar;Vis;0
Kevin Pina;V;CPV;N;29;A;N;Pas;For;0
Magomed Ozdoev;V;RUS;N;33;D;N;Des;For;0
Christian;M;BRA;N;25;D;S;Chu;Agi;4
Daniil Utkin;M;RUS;N;26;E;N;Chu;Vis;0
Douglas Augusto;M;BRA;N;29;E;S;Pas;Cri;0
Efim Burkin;M;RUS;N;18;D;N;Arm;Res;0
Grigoriy Lovtsov;M;RUS;N;21;D;N;Pas;Vis;0
Nikita Krivtsov;M;RUS;N;24;D;S;Chu;Vis;0
Eldar Guseynov;P;RUS;N;18;D;N;Dri;Vel;0
João Batxi;P;AGO;N;28;D;S;Dri;Vel;0
Timur Abdrashitov;P;RUS;N;24;D;N;Cru;Vel;0
Aleksandr Koksharov;A;RUS;N;21;D;N;Dri;Fri;0
Dmitriy Vorobyov;A;RUS;N;28;D;S;Chu;Fri;0
Jhon Córdoba;A;COL;N;33;D;N;Fin;Res;6
Kazbek Mukailov;A;RUS;N;19;D;N;Cab;Imp;0
Manuel Boselli;A;URY;N;26;E;N;Fin;Fri;0
