Lokomotiv Moscow;RUS;78;RZD Arena;Mikhail Galaktionov;RUS;116C53;FFFFFF;27000
Anton Mitryushkin;G;RUS;N;30;D;N;Ref;Fle;0
Daniil Veselov;G;RUS;N;21;E;N;Rbo;For;0
Ilya Lantratov;G;RUS;N;30;D;S;Col;Fri;0
Aleksandr Silyanov;L;RUS;N;25;D;S;Cru;Res;0
Cristian Ramírez;L;ECU;N;32;E;N;Pos;For;0
Maksim Nenakhov;L;RUS;N;27;A;N;Mar;Res;0
César Montes;Z;MEX;N;29;D;N;Mar;Vel;0
Egor Pogostnov;Z;RUS;N;22;D;N;Cab;Imp;0
Evgeniy Morozov;Z;RUS;N;25;D;S;Mar;Res;0
Georgiy Dzhikiya;Z;RUS;N;32;E;S;Des;Res;0
Gerzino Nyamsi;Z;CMR;N;29;D;S;Ant;Con;0
Lucas Fasson;Z;BRA;N;25;E;S;Mar;Imp;4
Daniil Chevardin;V;RUS;N;19;D;N;Des;For;0
Mikhail Shchetinin;V;RUS;N;21;D;N;Mar;Con;0
Aleksandr Kovalenko;M;RUS;N;23;D;N;Chu;Vis;0
Danila Godyaev;M;RUS;N;22;D;N;Dri;Fri;0
Ilya Eremeev;M;RUS;N;18;D;N;Dri;Cri;0
Lucas Vera;M;ARG;N;29;D;N;Dri;Vis;5
Sergey Babkin;M;RUS;N;23;D;S;Pas;Vis;0
Aleksandr Rudenko;P;RUS;N;27;E;S;Cru;Vel;0
Nikita Saltykov;P;RUS;N;22;D;N;Dri;Vel;0
Ruslan Myalkovskiy;P;BLR;N;20;E;N;Cru;Ace;0
Sergey Pinyaev;P;RUS;N;21;A;S;Cru;Vel;0
Zelimkhan Bakaev;P;RUS;N;30;E;S;Pas;Res;0
Komlichenko;A;RUS;N;31;D;N;Cab;Imp;0
Vadim Rakov;A;RUS;N;21;A;S;Fin;Fri;0
Vladislav Golubev;A;RUS;N;18;D;N;Dri;Vel;0
