Rubin Kazan;RUS;76;Ak Bars Arena;Franc Artiga;ESP;7B1D32;FFFFFF;45000
Artur Nigmatullin;G;RUS;N;35;D;N;Sgo;Fle;0
Evgeniy Staver;G;RUS;N;28;D;S;Col;Fri;0
Nikita Korets;G;RUS;N;21;D;N;Ref;Con;0
Anderson Arroyo;L;COL;N;26;D;S;Pas;Vel;0
Dmitriy Kabutov;L;RUS;N;34;D;N;Cru;For;0
Ilya Rozhkov;L;RUS;N;21;D;S;Des;Ace;0
Ilya Samoshnikov;L;RUS;N;28;D;N;Mar;For;0
Maksim Ignatjev;L;RUS;N;26;E;N;Cru;Vel;0
Aleksey Gritsaenko;Z;RUS;N;31;D;N;Mar;Con;0
Denil Maldonado;Z;HND;N;28;D;S;Cab;For;0
Egor Teslenko;Z;RUS;N;25;D;S;Cab;For;0
Igor Vujacic;Z;MNE;N;32;D;S;Mar;Con;0
Jakhongir Urozov;Z;UZB;N;22;E;N;Mar;Imp;0
Nikita Lobov;Z;RUS;N;21;D;N;Mar;Imp;0
Nizhegorodov;Z;RUS;N;24;E;S;Mar;Con;0
Uros Drezgic;Z;SRB;N;23;D;N;Des;Con;0
Ignacio Saavedra;V;CHL;N;27;D;S;Chu;Vis;0
Ugochukwu Iwu;V;ARM;N;26;D;N;Ant;For;0
Veldin Hodza;V;XKX;N;23;D;S;Mar;Res;0
Aleksandar Jukic;M;AUT;N;26;D;N;Pas;Vis;0
Bogdan Jocic;M;SRB;N;25;A;N;Chu;Vis;0
Nazmi Gripshi;M;ALB;N;29;D;S;Arm;Res;0
Ruslan Bezrukov;M;RUS;N;24;A;S;Pas;Cri;0
Daniil Kuznetsov;P;RUS;N;23;A;N;Cru;Vel;0
Daniil Motorin;A;RUS;N;22;D;N;Fin;Res;0
Dardan Shabanhaxhaj;A;XKX;N;25;D;N;Chu;Fri;0
Jacques Siwe;A;FRA;N;25;D;N;Dri;Vel;0
