Zenit;RUS;86;Gazprom Arena;Sergey Semak;RUS;0099DA;FFFFFF;63000
Bogdan Moskvichev;G;RUS;N;22;D;N;Ref;Fle;0
Daniil Odoevskiy;G;RUS;N;23;A;N;Col;Imp;0
Denis Adamov;G;RUS;N;28;D;S;Rbo;Fle;0
Douglas Santos;L;BRA;S;32;E;N;Cru;Res;0
Gustavo Mantuan;L;BRA;N;25;D;S;Cru;Agi;2
Román Vega;L;ARG;N;22;E;S;Cru;Vel;0
Sergey Volkov;L;RUS;N;23;D;N;Des;For;0
Vyacheslav Karavaev;L;RUS;N;31;D;N;Pas;Ace;0
Igor Diveev;Z;RUS;N;26;D;S;Cab;Imp;0
Kevin Andrade;Z;COL;N;27;D;N;Des;For;0
Nino;Z;BRA;S;29;D;S;Ant;Res;0
Nuraly Alip;Z;KAZ;N;26;E;N;Des;For;0
Artem Karpukas;V;RUS;N;24;D;S;Ant;For;0
Wilmar Barrios;V;COL;N;32;D;S;Mar;Con;3
Aleksandr Erokhin;M;RUS;N;36;D;N;Chu;Fri;0
Daniil Kondakov;M;RUS;N;18;D;N;Arm;Cri;0
Jhon Jhon;M;BRA;S;23;D;N;Chu;Vis;5
Wendel;M;BRA;N;28;D;S;Pas;Res;0
Andrey Mostovoy;P;RUS;N;28;D;N;Cru;Agi;0
Luiz Henrique;P;BRA;S;25;E;N;Dri;Vel;5
Pedro;P;BRA;N;20;D;S;Cru;Ace;0
Vadim Shilov;P;RUS;N;18;E;N;Cru;Vel;0
Aleksandr Sobolev;A;RUS;N;29;D;S;Cab;Imp;0
Felipe Augusto;A;BRA;N;22;E;N;Fin;For;0
Maksim Glushenkov;A;RUS;N;27;E;S;Fin;Res;0
