Al-Ettifaq;SAU;74;EGO Stadium;Arthur Papas;AUS;FFFFFF;000000;15000
Abdulbasit Hawsawi;G;SAU;N;25;D;N;Sgo;Fle;0
Ahmad Al-Rehaili;G;SAU;N;31;D;N;Col;Con;0
Marek Rodák;G;SVK;N;29;D;N;Ref;Imp;0
Turki Ba Al-Jawsh;G;SAU;N;22;D;S;Ref;Fle;0
Awad Dahal;L;SAU;N;21;D;N;Pos;Agi;0
Madallah Al-Olayan;L;SAU;N;32;D;S;Des;Agi;0
Mishal Al-Alaeli;L;SAU;N;22;E;N;Des;Ace;0
Radhi Al-Otaibi;L;SAU;N;26;D;S;Mar;Vel;0
Abdullah Khateeb;Z;SAU;N;31;D;S;Des;For;0
Abdullah Madu;Z;SAU;N;33;E;N;Mar;Con;0
Jack Hendry;Z;SCT;N;31;D;S;Cab;Imp;0
Meshal Al-Sibyani;Z;SAU;N;25;D;N;Mar;Vel;0
Abdoulaye Kanté;V;CIV;N;21;D;N;Mar;Vis;0
Abdulrahman Nabza;M;SAU;N;21;D;N;Dri;Agi;0
Bersant Celina;M;XKX;N;29;D;N;Arm;Agi;0
Faris Al-Ghamdi;M;SAU;N;23;D;N;Arm;Agi;0
Ondrej Duda;M;SVK;N;31;D;S;Pas;Vis;0
Yasir Al-Shammari;M;SAU;N;22;D;S;Pas;Agi;0
Álvaro Medrán;M;ESP;N;32;D;S;Pas;Agi;5
Jalal Al-Salem;P;SAU;N;21;D;N;Pas;Cri;0
Jordan Larsson;P;SWE;N;29;E;N;Fin;Agi;0
Khalid Al-Ghannam;P;SAU;N;25;D;S;Fin;Agi;0
Matija Gluscevic;P;SRB;N;22;D;N;Dri;Agi;0
Mohau Nkota;P;ZAF;N;21;E;N;Cru;Agi;0
Rayane Messi;P;FRA;N;19;D;S;Dri;Vel;0
Ziyad Al-Ghamdi;P;SAU;N;21;D;N;Pas;Agi;0
Moussa Dembélé;A;FRA;N;30;D;S;Fin;For;0
