Al-Ittihad;SAU;77;King Abdullah Sports City;Jens Wissing;DEU;F7E805;000000;62000
Mohammed Al-Absi;G;SAU;N;23;D;N;Col;Imp;0
Osama Al-Mermesh;G;SAU;N;23;D;N;Ref;For;0
Predrag Rajković;G;SRB;N;30;D;S;Ref;Con;4
Ahmed Al-Julaydan;L;SAU;N;22;D;N;Pos;Agi;0
Faris Abdi;L;SAU;N;27;E;S;Des;Agi;0
Fawaz Al-Sqoor;L;SAU;N;30;D;N;Cru;Vel;0
Hassan Kadesh;L;SAU;N;33;E;S;Des;Agi;0
Muath Faqihi;L;SAU;N;24;E;N;Des;For;0
Muhannad Al-Shanqeeti;L;SAU;N;27;D;S;Cru;Vel;0
Ahmed Sharahili;Z;SAU;N;32;E;N;Des;Vel;0
Danilo Pereira;Z;PRT;N;34;D;S;Ant;For;3
Jan-Carlo Simić;Z;SRB;N;21;D;S;Mar;For;0
Mohammed Barnawi;Z;SAU;N;20;D;N;Pos;Con;0
Saad Al-Mousa;Z;SAU;N;23;D;N;Des;For;0
Stephane Keller;Z;CMR;N;24;D;N;Pos;Vel;0
Dion Lopy;V;SEN;N;24;D;N;Mar;For;0
Rakan Kaabi;V;SAU;N;23;D;N;Mar;Con;0
Abdalellah Hawsawi;M;SAU;N;25;D;N;Pas;Vis;0
Bryant Ortega;M;VEN;N;23;D;N;Fin;Res;0
Hamed Al-Ghamdi;M;SAU;N;27;D;N;Pas;Vis;0
Houssem Aouar;M;DZA;N;28;D;S;Fin;Cri;5
Mahamadou Doumbia;M;MLI;N;22;D;S;Dri;Agi;0
Ahmed Al-Ghamdi;P;SAU;N;24;D;N;Arm;Cri;0
Marwan Al-Sahafi;P;SAU;N;22;D;N;Dri;Vel;0
Roger Fernandes;P;PRT;N;20;E;S;Dri;Ace;0
Steven Bergwijn;P;NLD;S;28;D;S;Fin;Vel;0
George Ilenikhena;A;NGA;N;19;E;N;Fin;Vel;0
Saleh Al-Shehri;A;SAU;N;32;D;N;Chu;For;0
Talal Haji;A;SAU;N;18;D;N;Fin;Vel;0
Youssef En-Nesyri;A;MAR;S;29;E;S;Fin;Imp;6
