Al-Nassr;SAU;85;Al-Awwal Park;Ange Postecoglou;AUS;F7C92C;215288;25000
Bento;G;BRA;N;27;D;S;Ref;Fle;0
Nawaf Al-Aqidi;G;SAU;N;26;D;N;Sgo;Fle;0
Awad Aman;L;SAU;N;21;E;N;Pos;Vel;0
Ayman Yahya;L;SAU;N;25;D;N;Des;Vel;0
Majed Qasheesh;L;SAU;N;24;E;N;Des;Vel;0
Nawaf Boushal;L;SAU;N;26;D;N;Cru;Vel;0
Saad Al-Nasser;L;SAU;N;25;E;N;Cru;Ace;0
Salem Al-Najdi;L;SAU;N;23;E;N;Cru;Vel;0
Sultan Al-Ghannam;L;SAU;N;32;D;S;Pas;Vel;0
Abdulelah Al-Amri;Z;SAU;N;29;D;S;Cab;Vel;0
Asser Housawi;Z;SAU;N;24;D;N;Mar;Con;0
Iñigo Martínez;Z;ESP;N;35;E;S;Ant;Con;4
Mohamed Simakan;Z;FRA;N;26;D;N;Des;Vel;0
Nader Al-Sharari;Z;SAU;N;30;D;S;Ant;For;0
Abdullah Al-Khaibari;V;SAU;N;29;D;S;Des;Vis;0
Ali Al-Hassan;V;SAU;N;29;D;S;Ant;Res;0
Samú Costa;V;PRT;N;25;E;N;Des;For;0
Abdulmalik Al-Jaber;M;SAU;N;22;D;N;Pas;Vis;0
Haydeer Abdulkareem;M;IRQ;N;21;E;N;Arm;Vis;0
Sami Al-Najei;M;SAU;N;29;D;S;Pas;Res;0
Kingsley Coman;P;FRA;N;30;D;S;Dri;Agi;0
Sadio Mané;P;SEN;S;34;D;S;Fin;Cri;5
Ângelo;P;BRA;N;21;E;N;Dri;Res;0
Abdullah Al-Hamdan;A;SAU;N;26;D;N;Pas;Vel;0
Cristiano Ronaldo;A;PRT;S;41;D;S;Fin;Fri;7
João Félix;A;PRT;S;26;D;N;Fin;Vel;0
Mohammed Marran;A;SAU;N;25;E;N;Fin;Res;0
