Al-Qadsiah;SAU;82;Prince Mohamed Fahd Stadium;Brendan Rodgers;NIR;FFFFFF;E60000;26000
Ahmed Al-Kassar;G;SAU;N;35;D;N;Rbo;Con;0
Koen Casteels;G;BEL;N;34;E;S;Ref;Fle;0
Meshary Sanyor;G;SAU;N;24;D;N;Ref;Fle;0
Mohammed Abu Al-Shamat;L;SAU;N;24;D;S;Pos;Res;0
Mohammed Qassim;L;SAU;N;31;E;N;Pas;Agi;0
Yasser Al-Shahrani;L;SAU;N;34;D;N;Pos;Agi;0
Carlos Jiménez;Z;ESP;N;20;D;N;Pos;For;0
Gastón Álvarez;Z;URY;N;26;E;S;Des;For;0
Jehad Thakri;Z;SAU;N;25;D;S;Ant;For;0
Nacho Fernández;Z;ESP;N;36;D;S;Mar;Con;3
Waleed Al-Ahmad;Z;SAU;N;27;D;N;Cab;Imp;0
Ahmed Al-Siyahi;V;SAU;N;21;D;N;Mar;Con;0
Ibrahim Mahnashi;V;SAU;N;26;D;N;Ant;For;0
Julian Weigl;V;DEU;N;30;D;S;Pas;Vis;0
Ali Hazazi;M;SAU;N;32;D;N;Pas;Vis;0
Cameron Puertas;M;ESP;N;27;D;N;Pas;Vis;0
Eyad Housa;M;SAU;N;19;D;N;Pas;Agi;0
Musab Al-Juwayr;M;SAU;N;23;D;S;Arm;Vis;0
Nahitan Nández;M;URY;N;30;D;S;Fin;Res;4
Otávio;M;PRT;N;31;D;N;Pas;Res;0
Tijjani Reijnders;M;NLD;N;27;D;N;Fin;Agi;0
Christopher Bonsu Baah;P;GHA;N;21;E;S;Arm;Agi;0
Haitham Asiri;P;SAU;N;25;D;N;Fin;Ace;0
Iker Almena;P;ESP;N;22;E;N;Dri;Agi;0
Mohammed Al-Qahtani;P;SAU;N;24;E;N;Fin;Ace;0
Turki Al-Ammar;P;SAU;N;26;D;N;Fin;Cri;0
Abdullah Al-Salem;A;SAU;N;33;D;N;Fin;Imp;0
Julián Quiñones;A;MEX;S;29;D;S;Fin;Fri;6
Mateo Retegui;A;ITA;S;27;D;S;Fin;Imp;0
Sultan Harun;A;SDN;N;20;D;N;Fin;Vel;0
