NEOM;SAU;74;King Khalid Sport City Stadium;Christophe Galtier;FRA;FFFFFF;000000;12000
Abdulrahman Dagriri;G;SAU;N;36;D;N;Col;Con;0
Luís Maximiano;G;PRT;N;27;A;S;Col;Imp;0
Marcin Bulka;G;POL;N;26;D;N;Ref;Imp;0
Mohammed Al-Hakim;G;SAU;N;21;D;N;Ref;Con;0
Raed Ozaybi;G;SAU;N;24;D;N;Ref;Fle;0
Abdulmalik Al-Oyayari;L;SAU;N;22;D;S;Des;Agi;0
Islam Hawsawi;L;SAU;N;24;E;S;Mar;Agi;0
Khaled Al-Rammah;L;SAU;N;21;D;N;Pos;Agi;0
Mohammed Al-Burayk;L;SAU;N;33;D;S;Pas;Agi;0
Mohannad Abu Taha;L;JOR;N;23;E;N;Pos;Res;0
Al-Dawsari;Z;SAU;N;23;D;N;Mar;Con;0
Khalifah Al-Dawsari;Z;SAU;N;27;D;S;Des;For;0
Malang Sarr;Z;FRA;N;27;E;N;Ant;Vel;0
Nathan Zézé;Z;FRA;N;21;E;S;Pos;Imp;0
Waleed Al-Dossary;Z;SAU;N;25;D;N;Des;Con;0
Amadou Koné;V;CIV;N;21;E;S;Ant;For;0
Riyadh Sharahili;V;SAU;N;33;D;N;Pas;Con;0
Abbas Al-Hassan;M;SAU;N;22;D;N;Arm;Agi;0
Alaa Hejji;M;SAU;N;30;D;S;Arm;Vis;0
Faisal Al-Ghamdi;M;SAU;N;24;D;S;Arm;Vis;0
Abdulaziz Noor;P;SAU;N;27;E;N;Dri;Ace;0
Ahmed Al-Anzi;P;SAU;N;22;D;N;Arm;Agi;0
Georgios Masouras;P;GRC;N;32;D;N;Fin;Res;0
Khalil Al-Absi;P;SAU;N;25;A;N;Dri;Vel;0
Saïd Benrahma;P;DZA;N;31;D;S;Fin;Cri;0
Abdulaziz Al-Othman;A;SAU;N;22;D;N;Fin;Vel;0
Alexandre Lacazette;A;FRA;S;35;D;S;Fin;For;0
Haroune Camara;A;SAU;N;28;D;N;Fin;Vel;0
