Adana Demirspor;TUR;50;Yeni Adana Stadyumu;Volkan Bekiroğlu;TUR;A1CDEE;1B1A60;30500
Ata Gül;G;TUR;N;17;D;N;Ref;For;0
Eren Fidan;G;TUR;N;16;D;N;Col;Fle;0
Murat Eser;G;TUR;N;21;D;S;Sgo;Imp;0
Aykut Sarıkaya;L;TUR;N;17;D;N;Pas;For;0
Doğuhan Asım Dübüş;L;TUR;N;18;D;N;Des;Res;0
Enes Demirtaş;L;TUR;N;20;D;S;Cru;Ace;0
Yücel Gürol;L;TUR;N;21;E;S;Mar;For;0
Ali Arda Yıldız;Z;TUR;N;19;E;N;Des;For;0
Ali Fidan;Z;TUR;N;20;E;S;Mar;Res;0
Aslan Atay;Z;TUR;N;21;D;S;Ant;Con;0
Hasan Alp Kaya;Z;TUR;N;18;D;N;Cab;For;0
Yusuf Demirkıran;Z;TUR;N;20;D;N;Pos;Imp;0
Halil Eray Aktaş;V;TUR;N;19;D;S;Pas;Vis;0
Mert Menemencioğlu;V;TUR;N;19;D;N;Mar;Agi;0
Toprak Bayar;V;TUR;N;17;D;N;Chu;For;0
Ahmet Yılmaz;M;TUR;N;20;E;S;Arm;Fri;0
Demir Yavuz;M;TUR;N;19;D;N;Fin;Cri;0
Kayra Saygan;M;TUR;N;17;D;N;Chu;Fri;0
Ulaş İmergi;M;TUR;N;19;D;N;Arm;Cri;0
Diyar Zengin;P;TUR;N;19;D;N;Fin;Vel;0
Gökdeniz Tunç;P;TUR;N;20;E;S;Pas;Cri;0
Kürşat Türkeş Küçük;P;TUR;N;21;E;S;Cru;Ace;0
Osman Kaynak;P;TUR;N;20;E;S;Arm;Res;0
Sefa Gülay;P;TUR;N;20;D;N;Dri;Agi;0
Ahmet Arda Birinci;A;TUR;N;20;D;S;Pas;For;0
Ahmet Bolat;A;TUR;N;18;D;N;Chu;Fri;0
