Antalyaspor;TUR;65;Antalya Stadı;Bülent Korkmaz;TUR;E30613;FFFFFF;29000
Abdullah Yiğiter;G;TUR;N;26;D;S;Ref;For;0
Doğukan Özkan;G;TUR;N;26;D;N;Sgo;Con;0
Julián Cuesta;G;ESP;N;35;D;N;Ref;For;0
Bünyamin Balcı;L;TUR;N;26;D;S;Des;Agi;0
Erdoğan Yeşilyurt;L;TUR;N;32;A;S;Cru;Ace;0
Güray Vural;L;TUR;N;38;E;N;Pas;Vel;0
Kenneth Paal;L;SUR;N;29;E;N;Cru;Agi;0
Mert Yılmaz;L;TUR;N;27;D;N;Mar;Res;0
Samet Karakoç;L;TUR;N;23;E;S;Pas;For;0
Ege İzmirli;Z;TUR;N;18;D;N;Cab;Res;0
Ensar Buğra Tivsiz;Z;TUR;N;19;D;S;Mar;For;0
Veysel Sarı;Z;TUR;N;38;D;N;Pos;Imp;0
Hasan Ürkmez;V;TUR;N;19;D;N;Pas;Vis;0
Jesper Ceesay;V;GMB;N;24;D;N;Ant;Con;0
Dario Saric;M;BIH;N;29;A;N;Arm;Fri;0
Ismail Chehaima;M;DZA;N;20;D;N;Pas;Agi;0
Ramzi Safuri;M;ISR;N;30;D;S;Pas;Cri;0
Sander van de Streek;M;NLD;N;33;D;S;Arm;Vis;0
Soner Dikmen;M;TUR;N;32;D;S;Fin;Vis;0
Yakub İlçin;M;TUR;N;17;D;N;Chu;Res;0
Ömer Beyaz;M;TUR;N;22;E;S;Dri;Res;0
Berkay Topdemir;P;TUR;N;19;D;N;Pas;Agi;0
Doğukan Sinik;P;TUR;N;27;D;N;Arm;Res;0
Mevlüt Şimşek;P;TUR;N;19;E;S;Dri;Ace;0
Nikola Storm;P;BEL;N;31;D;S;Pas;Agi;0
Arda Altun;A;TUR;N;19;D;N;Chu;Fri;0
Bachir Gueye;A;SEN;N;23;D;N;Fin;Imp;0
Yohan Boli;A;CIV;N;32;D;N;Pas;Res;0
