Bandirmaspor;TUR;66;Bandırma 17 Eylül;Ertuğrul Arslan;TUR;7B1113;FFFFFF;12500
Akın Alkan;G;TUR;N;37;D;S;Ref;Imp;0
Furkan Bekleviç;G;TUR;N;27;D;N;Ref;For;0
Ahmet Biler;L;TUR;N;24;E;N;Cru;Res;0
Ali Ülgen;L;TUR;N;26;D;S;Mar;Vel;0
Gani Burgaz;L;TUR;N;20;D;N;Pos;For;0
Hakan Bilgiç;L;TUR;N;33;D;N;Des;Res;0
Lucas Lima;L;BRA;N;34;E;S;Mar;Res;0
Burak Bekaroğlu;Z;TUR;N;29;D;N;Pos;Res;0
Cédric Hountondji;Z;BEN;N;32;D;N;Ant;Res;0
Enes Aydın;Z;TUR;N;22;E;S;Mar;For;0
Tolga Kalender;Z;TUR;N;25;D;N;Des;Imp;0
Yusuf Kocatürk;Z;TUR;N;22;E;S;Mar;Con;0
Dean Liço;V;ALB;N;26;E;S;Mar;For;0
Remi Mulumba;V;COD;N;33;D;N;Des;For;0
Abdulkadir Parmak;M;TUR;N;31;D;N;Arm;Fri;0
Atalay Atcı;M;TUR;N;19;D;N;Chu;Vis;0
Cem Türkmen;M;TUR;N;24;D;N;Pas;Fri;0
Emirhan Acar;M;TUR;N;21;E;S;Pas;Agi;0
Emirhan Ayhan;M;TUR;N;20;D;S;Chu;Agi;0
Enes Çinemre;M;TUR;N;19;A;N;Dri;Vis;0
Gümüşkaya;M;TUR;N;25;E;S;Fin;Cri;0
Joseph Namatane;M;SEN;N;19;D;N;Dri;Agi;0
João Amaral;M;PRT;N;34;A;N;Fin;Fri;0
Kerem Dönertaş;M;TUR;N;25;D;S;Chu;Vis;0
Amidou Badji;P;SEN;N;20;D;S;Cru;Vel;0
Tosin Kehinde;P;NGA;N;28;D;N;Dri;Ace;0
Tümer Oruç;P;TUR;N;20;D;N;Arm;Vel;0
Dame Seck;A;SEN;N;19;D;N;Chu;Fri;0
Gianni Bruno;A;BEL;N;35;D;N;Fin;Fri;0
Yalın Dilek;A;TUR;N;20;E;N;Cab;Imp;0
