Batman Petrolspor;TUR;63;Batman Stadyumu;Selçuk Şahin;TUR;DA291C;FAFAFA;15000
Birkan Tetik;G;TUR;N;30;D;N;Col;For;0
Yusuf Bakır;G;TUR;N;19;D;N;Rbo;Con;0
Çağlar Akbaba;G;TUR;N;31;D;S;Sgo;Imp;0
Mücahid Albayrak;L;TUR;N;35;E;N;Mar;Res;0
Omar Imeri;L;ALB;N;26;D;S;Des;Vel;0
Yasir Subaşı;L;TUR;N;30;E;S;Pas;Vel;0
Ömürcan Artan;L;TUR;N;27;D;N;Des;Ace;0
Ali İmran Işık;Z;TUR;N;19;D;N;Mar;Res;0
Devran Bozardiç;Z;TUR;N;20;E;N;Cab;Vel;0
Matheus Dória;Z;BRA;N;31;E;S;Pos;For;0
Metehan Mert;Z;TUR;N;27;D;S;Ant;Vel;0
Murat Sipahioğlu;Z;TUR;N;24;D;N;Pos;Vel;0
Turgut Arda Görmüş;Z;TUR;N;21;D;N;Mar;Res;0
Emirhan Aydoğan;V;TUR;N;29;E;N;Mar;Agi;0
Jin-ho Jo;V;KOR;N;23;D;S;Des;Agi;0
Mamadou Cissokho;V;SEN;N;25;D;N;Ant;Agi;0
Buğra Çağıran;M;TUR;N;31;D;N;Arm;Agi;0
Gökhan Karadeniz;M;TUR;N;36;E;N;Pas;Agi;0
Muhammed Aydın;M;TUR;N;19;D;N;Pas;Res;0
Oğuz Gürbulak;M;TUR;N;34;D;S;Pas;Agi;0
Benny;P;PRT;N;26;E;S;Arm;Cri;0
David Kaiki;P;BRA;N;22;D;N;Pas;Agi;0
Furkan Rüzgar;P;TUR;N;19;D;N;Pas;Res;0
Karan Topdemir;P;TUR;N;18;D;N;Pas;Res;0
Mickaël Biron;P;MTQ;N;28;D;S;Dri;Agi;0
Pedrinho;P;BRA;N;29;D;S;Fin;Ace;0
Polat Yaldır;P;TUR;N;23;D;N;Pas;Vel;0
Semih Kaan Toker;P;TUR;N;20;D;N;Pas;Res;0
Gökhan Altıparmak;A;TUR;N;25;D;N;Pas;For;0
Sergio Córdova;A;VEN;N;29;D;S;Dri;Vel;0
