Besiktas;TUR;85;Beşiktaş Park;Vincenzo Italiano;ITA;000000;FFFFFF;42500
Alexander Nübel;G;DEU;N;29;D;S;Col;Imp;1
Doğan Alemdar;G;TUR;N;23;D;N;Ref;Fle;0
Emir Yaşar;G;TUR;N;20;D;N;Ref;Fle;0
Amir Murillo;L;PAN;N;30;D;N;Pas;Vel;0
Kassoum Ouattara;L;FRA;N;21;E;N;Cru;Ace;0
Rıdvan Yılmaz;L;TUR;N;25;E;S;Pos;Res;0
Taylan Bulut;L;DEU;N;20;D;N;Cru;Vel;0
Emirhan Topçu;Z;TUR;N;25;E;S;Des;Res;0
Emmanuel Agbadou;Z;CIV;N;29;D;S;Cab;Imp;0
Emrecan Uzunhan;Z;TUR;N;25;E;N;Mar;Vel;0
Tiago Djaló;Z;PRT;N;26;D;S;Des;For;0
Yasin Özcan;Z;TUR;N;20;E;N;Mar;Res;0
Kartal Yılmaz;V;TUR;N;25;D;N;Chu;Vis;0
Salih Özcan;V;TUR;N;28;D;N;Des;Con;0
Wilfred Ndidi;V;NGA;N;29;D;S;Mar;Res;0
Fabio Miretti;M;ITA;N;22;D;N;Arm;Res;0
João Mário;M;PRT;N;33;D;N;Pas;Fri;0
Junior Olaitan;M;BEN;N;24;D;S;Pas;Cri;0
Orkun Kökçü;M;TUR;S;25;A;S;Fin;Cri;0
Élan Ricardo;M;COL;N;22;D;N;Chu;Vis;0
Can Keleş;P;AUT;N;24;E;N;Cru;Agi;0
Ernest Poku;P;NLD;N;22;D;N;Dri;Vel;0
İlhan Fakılı;P;TUR;N;20;D;N;Cru;Cri;0
Leandro Trossard;P;BEL;N;31;D;N;Cru;Cri;5
Milot Rashica;P;XKX;N;30;D;S;Dri;Agi;0
Vaclav Cerny;P;CZE;N;28;E;S;Arm;Vel;0
Dušan Vlahović;A;SRB;S;26;E;N;Fin;For;0
Hyeon-gyu Oh;A;KOR;N;25;D;S;Cab;Imp;0
Mustafa Hekimoğlu;A;TUR;N;19;D;N;Fin;Imp;0
Semih Kılıçsoy;A;TUR;N;20;D;N;Fin;Fri;0
