Bodrum;TUR;66;Bodrum İlçe Stadyumu;Burhan Eşer;TUR;007A33;FFFFFF;4000
Bahri Can Tosun;G;TUR;N;23;D;N;Sgo;Imp;0
Diogo Sousa;G;PRT;N;27;D;S;Sgo;Fle;0
Berşan Yavuzay;L;TUR;N;24;D;S;Cru;Ace;0
Emre Kaplan;L;TUR;N;25;E;S;Cru;Res;0
Ali Aytemur;Z;TUR;N;30;E;S;Mar;For;0
Ali Şahin Yılmaz;Z;TUR;N;22;D;N;Des;Res;0
Arlind Ajeti;Z;ALB;N;32;D;N;Ant;For;0
Furkan Apaydın;Z;TUR;N;24;E;N;Mar;Res;0
İsmail Tarım;Z;TUR;N;22;D;S;Des;Con;0
Ahmet Aslan;V;TUR;N;25;D;N;Mar;For;0
Gabriel Obekpa;V;NGA;N;22;E;N;Mar;For;0
Yusuf Sertkaya;V;TUR;N;21;D;N;Chu;Con;0
Bilal Güven;M;TUR;N;21;D;N;Arm;Cri;0
Boran Başkan;M;TUR;N;20;D;N;Pas;Agi;0
Ege Arslan;M;TUR;N;20;D;S;Chu;Agi;0
Enes Koç;M;TUR;N;21;D;N;Fin;Cri;0
Florian Loshaj;M;XKX;N;30;E;S;Chu;Cri;0
Mustafa Erdilman;M;TUR;N;22;E;S;Pas;Fri;0
Yunus Tarhan;M;TUR;N;24;D;N;Pas;Agi;0
Adem Metin Türk;P;TUR;N;22;E;N;Arm;Vel;0
Devrim Şahin;P;TUR;N;19;D;S;Cru;Ace;0
Ege Bilsel;P;TUR;N;22;D;S;Cru;Cri;0
Emirhan Arkutcu;P;TUR;N;20;E;N;Dri;Agi;0
Haqi Osman;P;GHA;N;24;D;N;Dri;Agi;0
Pedro Brazão;P;PRT;N;23;E;N;Arm;Ace;0
Ruben Providence;P;HTI;N;25;D;N;Cru;Ace;0
Yusuf Bozkurt;P;TUR;N;20;D;N;Dri;Vel;0
Ali Habeşoğlu;A;TUR;N;22;D;S;Fin;Imp;0
Celal Dumanlı;A;TUR;N;32;D;N;Fin;Imp;0
Kerem Kayaarası;A;TUR;N;20;D;N;Fin;Vel;0
