Boluspor;TUR;61;Bolu Atatürk;Daniel Farrar;USA;DA291C;FFFFFF;2000
Angelo Tafas;G;ALB;N;26;D;S;Ref;Fle;1
Kaan Alp Dizbay;G;TUR;N;19;D;N;Col;Con;0
Muhammet Özkan;G;TUR;N;24;D;N;Col;Fle;0
Abdulsamet Kırım;L;TUR;N;33;E;S;Pas;Ace;0
Furkan Metin;L;TUR;N;24;D;N;Pos;Res;0
Juan Argüello;L;ARG;N;26;E;S;Pos;Agi;0
Yusuf Can Esendemir;L;TUR;N;25;E;N;Pos;Agi;0
Ahmet Can Özdemir;Z;TUR;N;30;D;S;Pos;Res;0
Ali Çırak;Z;TUR;N;25;E;N;Mar;Vel;0
Bartu Göçmen;Z;TUR;N;23;D;N;Des;Imp;0
Elvin Yunuszada;Z;AZE;N;33;D;S;Ant;Res;0
Kevin Cuesta;Z;COL;N;26;D;S;Cab;Imp;0
Can Arda Yılmaz;V;TUR;N;19;D;N;Pas;Agi;0
Hosue Díaz;V;PRY;N;21;D;S;Mar;For;0
Bertu Özyürek;M;TUR;N;25;D;N;Pas;Agi;0
Burak Topçu;M;TUR;N;25;E;N;Pas;Agi;0
Deco;M;NGA;N;27;D;S;Pas;Vis;0
Muhammed Mert;M;TUR;N;31;D;S;Pas;Agi;0
Zeki Dursun;M;TUR;N;20;E;N;Pas;Agi;0
Alptekin Çaylı;P;TUR;N;21;E;N;Pas;Vel;0
Deniz Yıldız;P;TUR;N;18;D;N;Pas;Res;0
Erdem Can Polat;P;TUR;N;24;D;N;Pas;Agi;0
Fernando Escobar;P;PRY;N;29;D;S;Pas;Vel;0
Furkan Kaçmaz;P;TUR;N;20;D;N;Pas;Vel;0
İsmail Kalburcu;P;TUR;N;20;D;N;Pas;Agi;0
Temel Çakmak;P;TUR;N;25;D;N;Pas;Ace;0
Tolunay Artuç;P;TUR;N;21;D;N;Dri;Ace;0
Ege Özkayımoğlu;A;TUR;N;25;D;N;Pas;Vel;0
Rodrigo Rivas;A;COL;N;29;E;S;Pas;Vel;0
