Esenler Erokspor;TUR;68;Esenler Erokspor Stadyumu;Mustafa Gürsel;TUR;FFD700;007A33;5000
Ege Baran Sahillioğlu;G;TUR;N;24;D;N;Sgo;For;0
Erdem Canpolat;G;TUR;N;25;D;S;Col;Fle;0
Ertuğrul Çetin;G;TUR;N;23;D;N;Rbo;Con;0
Mehmet İdin;G;TUR;N;16;D;N;Sgo;Fle;0
Enes Alıç;L;TUR;N;26;E;S;Cru;Ace;0
Erkan Kaş;L;TUR;N;34;E;N;Pas;Ace;0
Furkan Orak;L;TUR;N;25;D;N;Pos;Vel;0
Hayrullah Bilazer;L;TUR;N;31;D;S;Mar;For;0
Oğulcan Kestane;L;TUR;N;21;D;N;Cru;Agi;0
Bahadır Öztürk;Z;TUR;N;30;D;S;Cab;For;0
Luccas Claro;Z;BRA;N;34;D;S;Des;Imp;0
Onur Ulaş;Z;TUR;N;29;E;N;Mar;Res;0
Ferhat Yazgan;V;TUR;N;33;D;N;Ant;Agi;0
Mikail Okyar;V;TUR;N;27;D;S;Mar;Vis;0
Tugay Kacar;V;TUR;N;32;D;N;Des;For;0
Guélor Kanga;M;GAB;N;35;D;N;Dri;Vis;0
Muhamed Buljubasic;M;BIH;N;22;D;S;Chu;Vis;0
Nicolas Janvier;M;FRA;N;28;D;N;Fin;Agi;0
Recep Niyaz;M;TUR;N;31;D;S;Dri;Fri;0
Altin Zeqiri;P;XKX;N;26;D;S;Arm;Vel;0
Burak Çoban;P;TUR;N;31;D;N;Cru;Cri;0
Harun Genç;P;TUR;N;22;E;N;Dri;Ace;0
Yusuf Erdoğan;P;TUR;N;34;E;S;Fin;Res;0
Arda Özyurt;A;TUR;N;18;D;N;Fin;For;0
Braian Samudio;A;PRY;N;30;D;S;Fin;Res;0
Habib Guèye;A;SEN;N;26;D;N;Dri;Vel;0
Kubilay Kanatsızkuş;A;TUR;N;29;E;N;Cab;Imp;0
