Eyüpspor;TUR;76;Recep Tayyip Erdoğan Stadyumu;Özhan Pulat;TUR;4B2163;F3A530;13500
Emre Bilgin;G;TUR;N;22;E;N;Sgo;Fle;0
Horațiu Moldovan;G;ROU;N;28;D;S;Sgo;Fle;0
Umut Keseci;G;TUR;N;22;D;N;Rbo;Fle;0
Arda Yavuz;L;TUR;N;20;E;N;Cru;Res;0
Calegari;L;BRA;N;24;D;S;Cru;Ace;0
Simone Giordano;L;ITA;N;24;E;S;Des;Agi;0
Talha Ülvan;L;TUR;N;25;D;S;Pas;Vel;0
Anıl Yaşar;Z;TUR;N;24;E;N;Des;Res;0
Berhan Kutlay Şatlı;Z;TUR;N;20;D;N;Pos;Vel;0
Diabel Ndoye;Z;SEN;N;18;D;N;Ant;For;0
Jawad El Yamiq;Z;MAR;N;34;D;S;Pos;Res;0
Yiğit Demir;Z;TUR;N;23;D;N;Pos;Con;0
Zak Jules;Z;SCT;N;29;E;S;Mar;Vel;0
Chandrel Massanga;V;COG;N;27;D;S;Mar;For;0
Taşkın İlter;V;TUR;N;32;D;N;Mar;For;0
Abdelhamid Sabiri;M;MAR;N;29;D;N;Pas;Fri;0
David Costa;M;CPV;N;22;D;S;Fin;Fri;0
Erdem Çalık;M;TUR;N;20;D;N;Fin;Agi;0
Hamza Akman;M;TUR;N;21;D;N;Dri;Cri;0
Raux-Yao;M;FRA;N;24;D;N;Chu;Agi;0
Berkay Kumlu;P;TUR;N;21;E;N;Arm;Vel;0
Bilal Boutobba;P;FRA;N;27;E;N;Cru;Ace;0
Christ Sadia;P;CIV;N;19;E;N;Cru;Agi;0
Konrad Michalak;P;POL;N;28;D;S;Arm;Res;0
Lenny Pintor;P;FRA;N;26;D;S;Dri;Vel;0
Mete Demir;P;TUR;N;28;E;N;Pas;Vel;0
Musa Eren Karakaş;P;TUR;N;22;D;N;Dri;Vel;0
Abdou Khadre Sy;A;SEN;N;18;D;N;Fin;Res;0
Ahmed Abdullahi;A;NGA;N;22;D;S;Pas;Res;0
Yusuf Barası;A;TUR;N;23;D;N;Fin;Res;0
