Galatasaray;TUR;87;Ali Sami Yen Spor Kompleksi;Okan Buruk;TUR;A90432;FDB912;53500
Emre Büyük;G;TUR;N;20;D;N;Sgo;For;0
Günay Güvenç;G;TUR;N;35;D;N;Rbo;Fle;0
Jankat Yılmaz;G;TUR;N;21;E;N;Ref;Con;0
Uğurcan Çakır;G;TUR;N;30;D;S;Ref;Fle;0
Eren Elmalı;L;TUR;N;26;E;N;Pas;Vel;0
Ismail Jakobs;L;SEN;N;26;E;N;Pos;Ace;0
Kazımcan Karataş;L;TUR;N;23;E;N;Cru;Ace;0
Roland Sallai;L;HUN;N;29;D;S;Des;For;0
Wilfried Singo;L;CIV;N;25;D;N;Pas;Agi;0
Abdülkerim Bardakcı;Z;TUR;N;31;E;S;Mar;For;0
Arda Ünyay;Z;TUR;N;19;D;N;Ant;Vel;0
Davinson Sánchez;Z;COL;N;30;D;S;Des;For;3
Victor Nelsson;Z;DNK;N;27;D;N;Mar;Vel;0
Eyüp Aydın;V;TUR;N;22;A;N;Mar;For;0
Kaan Ayhan;V;TUR;N;31;D;N;Pas;Con;0
Lesley Ugochukwu;V;FRA;N;22;D;N;Des;Agi;0
Lucas Torreira;V;URY;N;30;D;S;Mar;Con;0
Mario Lemina;V;GAB;N;32;D;S;Ant;For;0
Aleksey Batrakov;M;RUS;N;21;D;N;Pas;Cri;0
Gabriel Sara;M;BRA;N;27;E;S;Dri;Agi;5
İlkay Gündoğan;M;DEU;S;35;D;N;Pas;Vis;0
Renato Nhaga;M;GNB;N;19;D;N;Pas;Fri;0
Siraçhan Nas;M;TUR;N;24;D;N;Pas;Vis;0
Armando Güner;P;ARG;N;18;E;N;Arm;Vel;0
Barış Yılmaz;P;TUR;N;26;D;S;Arm;Res;0
Leroy Sané;P;DEU;S;30;E;S;Dri;Agi;5
Rafael Leão;P;PRT;S;27;D;N;Dri;Vel;0
Yunus Akgün;P;TUR;N;26;E;S;Fin;Vel;0
Deniz Gül;A;TUR;N;22;D;N;Fin;Res;0
Victor Osimhen;A;NGA;S;27;D;S;Fin;Vel;6
