Göztepe;TUR;81;Gürsel Aksel Stadyumu;Stanimir Stoilov;BGR;FCD116;ED1C24;23000
Arda Özçimen;G;TUR;N;24;E;N;Ref;Con;0
Luka Gugeshashvili;G;GEO;N;27;E;S;Col;Fle;0
Nevzat Üzel;G;TUR;N;19;D;N;Sgo;Fle;0
Şamil Öztürk;G;TUR;N;21;D;N;Ref;Imp;0
Allan Godói;Z;BRA;N;33;D;S;Cab;Vel;0
Ege Yıldırım;Z;TUR;N;19;E;N;Ant;For;0
Furkan Bayır;Z;TUR;N;26;D;N;Mar;Res;0
Malcom Bokele;Z;CMR;N;26;D;S;Des;Con;0
Noah Sonko Sundberg;Z;GMB;N;30;D;N;Mar;Con;0
Taha Altıkardeş;Z;TUR;N;22;D;S;Des;For;0
Novatus Miroshi;V;TZA;N;23;E;S;Pas;Con;0
Alex Matos;M;ENG;N;21;D;N;Chu;Res;0
Alexis Antunes;M;CHE;N;26;D;S;Chu;Vis;0
Arda Okan Kurtulan;M;TUR;N;23;D;S;Chu;Agi;0
Efkan Bekiroğlu;M;TUR;N;30;D;S;Pas;Res;0
Furkan Malak;M;TUR;N;21;D;N;Arm;Fri;0
Ogün Bayrak;M;TUR;N;27;D;N;Fin;Vis;0
Rhaldney;M;BRA;N;27;D;S;Pas;Res;0
André Henrique;A;BRA;N;24;D;N;Fin;Imp;0
Bekir Turaç Böke;A;TUR;N;27;D;N;Fin;Vel;0
Gökdeniz Bayrakdar;A;TUR;N;24;E;N;Pas;Res;0
Ibrahim Sabra;A;JOR;N;20;D;N;Chu;For;0
Janderson;A;BRA;N;27;D;S;Fin;Vel;0
Juan;A;BRA;N;24;D;S;Cab;Res;0
Sinclair Armstrong;A;IRL;N;23;D;N;Pas;Imp;0
