Igdir;TUR;63;Iğdır Şehir Stadı;Kenan Kocak;DEU;007A33;FFFFFF;2500
Eren Karataş;G;TUR;N;25;D;N;Ref;Fle;0
Jakub Szumski;G;POL;N;34;D;S;Sgo;Imp;1
Taha Tepe;G;TUR;N;25;D;N;Sgo;Imp;0
Ahmet Köse;L;TUR;N;18;D;N;Mar;Res;0
Baran Moğultay;L;TUR;N;22;E;N;Mar;Res;0
Devran Şenyurt;L;TUR;N;21;D;N;Des;Agi;0
Emrecan Terzi;L;TUR;N;22;E;N;Pas;Ace;0
Hüseyin Karabey;L;TUR;N;23;D;S;Des;Vel;0
Serkan Asan;L;TUR;N;27;D;N;Des;Agi;0
Soner Gönül;L;TUR;N;29;E;S;Des;Ace;0
Alim Öztürk;Z;TUR;N;33;D;S;Ant;Vel;0
Alperen Selvi;Z;TUR;N;25;E;N;Mar;For;0
Arda Öztürk;Z;TUR;N;19;D;N;Pos;Vel;0
Loïc Kouagba;Z;FRA;N;32;E;S;Des;Vel;0
Yiğit Ali Buz;Z;TUR;N;19;E;N;Ant;Vel;0
Doğan Erdoğan;V;TUR;N;29;D;S;Des;Agi;0
Efe Kaan Şıhlaroğlu;M;TUR;N;21;D;N;Fin;Cri;0
Emirhan Altundağ;M;TUR;N;19;D;N;Pas;Res;0
Ertuğrul Yıldırım;M;TUR;N;18;D;N;Pas;Res;0
Giovanni Crociata;M;ITA;N;29;D;S;Arm;Vis;0
Gökcan Kaya;M;TUR;N;31;D;S;Dri;Agi;0
Leandro Bacuna;M;CUW;N;35;D;N;Pas;Agi;0
Leon Çalışkan;M;TUR;N;19;E;N;Pas;Agi;0
Dino Hotic;P;BIH;N;31;E;S;Arm;Cri;0
Felix Afena-Gyan;P;GHA;N;23;D;S;Arm;Vel;0
Moustapha Camara;P;SEN;N;23;D;N;Pas;Vel;0
Arda Çolak;A;TUR;N;21;E;S;Pas;Vel;0
Douglas Tanque;A;BRA;N;32;E;N;Pas;For;0
Özder Özcan;A;TUR;N;19;D;N;Dri;Vel;0
