Kasimpasa;TUR;76;Recep Tayyip Erdoğan Stadyumu;Emre Belözoğlu;TUR;002B5E;FFFFFF;13500
Ali Emre Yanar;G;TUR;N;28;D;N;Ref;For;0
Andreas Gianniotis;G;GRC;N;33;D;S;Col;Con;0
Ege Albayrak;G;TUR;N;19;D;N;Rbo;Fle;0
Ayberk Karapo;L;TUR;N;22;D;N;Cru;Vel;0
Cláudio Winck;L;BRA;N;32;D;S;Pas;For;0
Godfried Frimpong;L;NLD;N;27;E;N;Cru;Vel;0
Jakob Jessen;L;DNK;N;22;E;S;Cru;Vel;0
Kamil Çörekçi;L;TUR;N;34;D;N;Cru;Res;0
Adem Arous;Z;TUN;N;22;D;S;Cab;Imp;0
Ahmet Dağbaşı;Z;TUR;N;21;D;N;Des;Vel;0
Kévin Mouanga;Z;FRA;N;26;D;S;Ant;Vel;0
Matei Ilie;Z;ROU;N;23;E;S;Mar;Res;0
Salih Arıcı;Z;TUR;N;18;E;N;Ant;Vel;0
Taylan Aydın;Z;TUR;N;20;D;N;Des;For;0
Andri Baldursson;V;ISL;N;24;D;S;Des;Con;0
Elson Mendes;V;CPV;N;20;D;S;Pas;Res;0
Emirhan Boz;V;TUR;N;20;D;N;Des;For;0
Haris Hajradinovic;M;BIH;N;32;E;N;Pas;Cri;0
Kerem Demirbay;M;DEU;N;33;E;N;Chu;Fri;0
Ali Yavuz Kol;P;TUR;N;25;D;N;Cru;Vel;0
Ben Ouanes;P;TUN;N;32;E;S;Dri;Vel;0
Emirhan Yiğit;P;TUR;N;20;E;N;Pas;Vel;0
Fousseni Diabaté;P;MLI;N;30;E;N;Cru;Res;0
Marcus Rafferty;P;SWE;N;21;D;N;Cru;Ace;0
Sercan Deniz;P;TUR;N;19;D;N;Dri;Agi;0
Thiemoko Diarra;P;MLI;N;23;D;N;Pas;Cri;0
Adrian Benedyczak;A;POL;N;25;A;S;Cab;Imp;0
Emin Bektaş;A;TUR;N;20;D;N;Chu;Imp;0
Güven Yalçın;A;TUR;N;27;D;S;Fin;Res;0
Sinan Alkaş;A;TUR;N;19;D;N;Cab;Imp;0
