Kayserispor;TUR;67;Kadir Has Stadyumu;Atila Gerin;TUR;DA291C;FFD700;31500
Gökhan Değirmenci;G;TUR;N;37;D;S;Ref;Con;0
Hasan Kaan Yalçı;G;TUR;N;19;D;N;Sgo;For;0
Cenk Şen;L;TUR;N;25;E;S;Cru;Res;0
Ertuğrul Gazi Demirel;L;TUR;N;18;D;N;Cru;For;0
Joshua Brenet;L;CUW;N;32;D;N;Des;For;0
Mert Göckan;L;TUR;N;25;E;N;Pos;Vel;0
Muhammed Arıkan;L;TUR;N;21;E;N;Mar;Res;0
Murat Uçar;L;TUR;N;35;D;S;Des;Res;0
Abdulsamet Burak;Z;TUR;N;30;E;N;Ant;Con;0
Aras Çelik;Z;TUR;N;16;D;N;Mar;Res;0
Fethi Özer;Z;TUR;N;29;D;N;Mar;Res;0
Jemal Tabidze;Z;GEO;N;30;E;S;Pos;Con;0
Kayra Cihan;Z;TUR;N;18;E;N;Cab;Imp;0
Semih Güler;Z;TUR;N;31;D;S;Mar;Res;0
Marco Dulca;V;ROU;N;27;D;S;Des;Con;0
Sinan Kurt;V;TUR;N;31;A;S;Mar;Vis;0
Görkem Sağlam;M;TUR;N;28;D;S;Arm;Vis;0
Malik Hayvali;M;DEU;N;21;E;N;Chu;Cri;0
Mamadi Camará;M;GNB;N;22;D;N;Fin;Agi;0
Yiğit Emre Çeltik;M;TUR;N;23;E;N;Pas;Cri;0
Arda Kaya;P;TUR;N;20;E;N;Arm;Vel;0
Benhur Keser;P;TUR;N;29;D;S;Cru;Agi;0
Burak Erkan;P;TUR;N;19;D;N;Cru;Cri;0
Daniel Moreno;P;COL;N;31;D;N;Dri;Vel;0
Denis Radu;P;ROU;N;23;A;N;Cru;Vel;0
Nurettin Korkmaz;P;TUR;N;24;E;N;Dri;Vel;0
Taylan Karapınar;P;TUR;N;18;D;N;Cru;Ace;0
Florent Hasani;A;XKX;N;29;E;S;Fin;Vel;0
Talha Sarıarslan;A;TUR;N;22;D;N;Cab;Imp;0
Taulant Seferi;A;ALB;N;29;D;S;Cab;Imp;0
