Konyaspor;TUR;78;MedaşKonya Büyükşehir Stadyumu;İlhan Palut;TUR;007A33;FFFFFF;41500
Bahadır Güngördü;G;TUR;N;30;D;S;Col;Imp;0
Deniz Ertaş;G;TUR;N;21;D;N;Sgo;For;0
Egemen Aydın;G;TUR;N;19;D;N;Ref;Con;0
Arif Boşluk;L;TUR;N;23;E;S;Pas;For;0
Arthur Masuaku;L;COD;N;32;E;N;Cru;Agi;0
Yhoan Andzouana;L;COG;N;29;D;S;Mar;Ace;0
Adil Demirbağ;Z;TUR;N;28;D;S;Des;Vel;0
Chidozie Awaziem;Z;NGA;N;29;D;N;Mar;For;0
Da Mata;Z;BRA;N;20;D;N;Pos;Vel;0
Rayyan Baniya;Z;TUR;N;27;D;N;Cab;Imp;0
Utku Eriş;Z;TUR;N;20;D;N;Mar;Res;0
Uğurcan Yazğılı;Z;TUR;N;27;D;S;Pos;Vel;0
Marko Jevtovic;V;SRB;N;33;D;S;Des;Con;0
Rajmund Tóth;V;HUN;N;22;D;N;Des;For;0
Enis Bardhi;M;MKD;N;31;D;S;Dri;Cri;0
Melih İbrahimoğlu;M;TUR;N;26;A;S;Fin;Agi;0
Deniz Türüç;P;TUR;N;33;E;S;Cru;Res;0
Diogo Gonçalves;P;PRT;N;29;D;N;Pas;Ace;0
Ebrima Colley;P;GMB;N;26;D;N;Pas;Res;0
Emir Bars;P;TUR;N;21;D;N;Dri;Agi;0
Jean-Luc Dompé;P;FRA;N;31;D;N;Pas;Res;0
Enis Destan;A;TUR;N;24;D;N;Fin;Imp;0
Jackson Muleka;A;COD;N;26;D;S;Dri;Vel;0
Mostafa Mohamed;A;EGY;N;28;D;S;Chu;Vel;0
