Manisa;TUR;63;Manisa 19 Mayıs Stadyumu;Ahmet Pektaş;TUR;000000;FFFFFF;16500
Egemen Yaylı;G;TUR;N;26;D;N;Ref;Con;0
Metehan Başar;G;TUR;N;18;D;N;Sgo;Imp;0
Vedat Karakuş;G;TUR;N;28;E;S;Rbo;For;0
Mustafa Erkasap;L;TUR;N;23;E;N;Cru;Vel;0
Yasin Güreler;L;TUR;N;35;E;N;Pas;For;0
Yunus Emre Köse;L;TUR;N;18;D;N;Des;Res;0
Yusuf Talum;L;TUR;N;24;D;S;Pos;Vel;0
Ada İbik;Z;TUR;N;17;E;S;Mar;For;0
Atakan Çankaya;Z;TUR;N;28;D;S;Pos;Res;0
Christophe Hérelle;Z;MTQ;N;33;D;S;Cab;For;0
Fırat İnal;Z;TUR;N;22;D;N;Des;Imp;0
Oğuzhan Yurtdaş;Z;TUR;N;16;D;N;Mar;Con;0
Ahmet Şen;V;TUR;N;18;D;N;Pas;Vis;0
Birama Touré;V;MLI;N;34;D;S;Chu;Con;0
Yunus Emre Dursun;V;TUR;N;20;D;N;Ant;Agi;0
Batuhan Çolak;M;TUR;N;17;D;N;Pas;Res;0
Emre Akboğa;M;TUR;N;19;D;N;Fin;Vis;0
Emre Yüce;M;TUR;N;18;E;N;Dri;Fri;0
Jonathan Lindseth;M;NOR;N;30;D;S;Pas;Cri;0
Julien Anziani;M;FRA;N;27;D;S;Fin;Cri;0
Kadir Kaan Yurdakul;M;TUR;N;25;D;S;Pas;Agi;0
Kerem Arık;M;TUR;N;19;D;N;Pas;Fri;0
Noha Lemina;M;GAB;N;21;D;N;Dri;Res;0
Yassine Benrahou;M;MAR;N;27;E;N;Chu;Agi;0
Alenis Vargas;P;HND;N;22;D;S;Cru;Ace;0
Osman Kahraman;P;TUR;N;18;E;N;Pas;Res;0
Cheikne Sylla;A;MLI;N;32;D;S;Cab;For;0
