Mardin 1969;TUR;62;21 Kasım Şehir Stadyumu;Ahmet Cingöz;TUR;001545;EF6056;5500
Arda Kemal Gülmez;G;TUR;N;19;E;N;Col;For;0
Emir Kireççi;G;TUR;N;22;D;N;Ref;Fri;0
Erce Kardeşler;G;TUR;N;32;D;S;Sgo;Imp;0
Ömer Kahveci;G;TUR;N;34;D;N;Col;Fle;0
Emre Taşdemir;L;TUR;N;31;E;S;Des;Vel;0
Enes Erol;L;TUR;N;21;D;N;Pas;Ace;0
Eray Korkmaz;L;TUR;N;23;D;S;Pas;Vel;0
Kerim Alıcı;L;TUR;N;29;D;N;Pas;Vel;0
Nafican Yardımcı;L;TUR;N;25;E;N;Pas;Vel;0
Berkay Dogan;Z;AUT;N;24;E;N;Mar;Res;0
Mustafa Şengül;Z;TUR;N;27;D;S;Des;Vel;0
Uğur Gezer;Z;TUR;N;31;E;S;Des;Vel;0
Ömer Karslıoğlu;Z;TUR;N;18;E;N;Mar;Res;0
Adem Eren Kabak;V;TUR;N;25;D;N;Pas;Agi;0
Baba Alhassan;V;UGA;N;26;D;S;Pas;Vis;0
Djordje Denic;V;SRB;N;30;D;S;Des;Agi;0
Erol Can Akdağ;V;TUR;N;30;D;N;Mar;Res;0
Umutcan Kırboğa;V;TUR;N;20;D;N;Mar;Res;0
Abdullah Aydın;M;TUR;N;25;D;N;Pas;Res;0
Bünyamin Balat;M;TUR;N;29;E;N;Pas;Agi;0
Rojhat Sağlam;M;TUR;N;22;D;N;Pas;Res;0
Tonio Teklic;M;HRV;N;26;E;N;Arm;Cri;0
Şahverdi Çetin;M;TUR;N;25;D;N;Pas;Res;0
Ahmet Ülük;P;TUR;N;24;D;N;Dri;Vel;0
Denizhan Taşkan;P;TUR;N;26;D;S;Pas;Vel;0
Mallik Wilks;P;ENG;N;27;E;S;Pas;Ace;0
Zdravko Dimitrov;P;BGR;N;27;D;S;Pas;Cri;0
Olarenwaju Kayode;A;NGA;N;33;D;S;Fin;Vel;0
Osman Yıldırım;A;TUR;N;25;D;N;Cab;For;0
Sekou Sonko;A;SEN;N;20;D;N;Fin;Res;0
