Pendikspor;TUR;64;Pendik Stadı;Umut Eskiköy;TUR;DA291C;FFFFFF;4000
Emre Koyuncu;G;TUR;N;30;D;S;Rbo;Fle;0
Hüseyin İşlek;G;TUR;N;17;D;N;Ref;For;0
Utku Yuvakuran;G;TUR;N;28;D;N;Rbo;Con;0
Furkan Doğan;L;TUR;N;24;E;S;Pas;Vel;0
Kerem Kalafat;L;TUR;N;25;D;S;Pas;Ace;0
Ahmet Özkaya;Z;TUR;N;21;E;N;Pos;Con;0
Berkay Sülüngöz;Z;TUR;N;30;D;S;Ant;Vel;0
Taha Emre İnce;Z;TUR;N;19;D;N;Mar;For;0
Tarık Tekdal;Z;TUR;N;35;D;N;Pos;Vel;0
Vinko Soldo;Z;HRV;N;28;E;S;Des;Vel;0
Burak Gültekin;V;TUR;N;19;D;N;Mar;For;0
Efehan Pekdemir;V;TUR;N;19;D;N;Des;Agi;0
Hakan Yeşil;V;TUR;N;24;D;S;Pas;Vis;0
Mesut Özdemir;V;TUR;N;33;D;S;Des;Vis;0
Adnan Uğur;M;BEL;N;25;D;N;Pas;Agi;0
Bekir Karadeniz;M;TUR;N;27;E;S;Arm;Vis;0
Ismaila Manga;M;SEN;N;19;D;N;Pas;Res;0
Safa Yıldırım;M;TUR;N;22;A;N;Pas;Res;0
Yekta Sönmez;M;TUR;N;25;D;S;Pas;Agi;0
Bedirhan Akbaba;P;TUR;N;21;D;N;Pas;Res;0
Emrah Başsan;P;TUR;N;34;E;N;Pas;Agi;0
Onuralp Çakıroğlu;P;TUR;N;18;E;N;Pas;Res;0
Samuel Abifade;P;DEU;N;26;E;N;Pas;Vel;0
Ahmet Mert Koşar;A;TUR;N;19;D;N;Pas;Res;0
Görkem Bitin;A;TUR;N;28;E;S;Pas;Vel;0
Jonson Clarke-Harris;A;JAM;N;32;E;N;Pas;Vel;0
Ozan Demirbağ;A;TUR;N;18;D;N;Pas;Vel;0
Thuram;A;BRA;N;35;D;S;Pas;Vel;0
