Rizespor;TUR;79;Çaykur Didi;Recep Uçar;TUR;FFFFFF;000000;14500
Efe Doğan;G;TUR;N;22;D;N;Col;Fle;0
Hasan Yağız Döne;G;TUR;N;16;D;N;Ref;Fle;0
Yahia Fofana;G;CIV;N;25;D;S;Col;For;0
Zafer Görgen;G;TUR;N;26;D;N;Sgo;Fle;0
Mithat Pala;L;TUR;N;26;D;S;Cru;Vel;0
Taha Şahin;L;TUR;N;25;D;N;Des;Vel;0
Umut Erdem;L;TUR;N;22;E;N;Mar;Agi;0
Zakaria Ariss;L;MAR;N;22;E;S;Mar;Agi;0
Attila Mocsi;Z;HUN;N;26;D;S;Pos;For;0
Habil Özbakır;Z;TUR;N;21;E;N;Ant;Con;0
Khusniddin Alikulov;Z;UZB;N;27;D;N;Cab;For;0
Modibo Sagnan;Z;MLI;N;27;E;S;Des;Res;0
Siaka Bakayoko;Z;FRA;N;21;D;N;Ant;Con;0
Tayyip Sanuç;Z;TUR;N;26;D;N;Mar;Con;0
Yakup Ayan;Z;TUR;N;18;D;N;Ant;Con;0
Taylan Antalyalı;V;TUR;N;31;D;S;Mar;Con;0
Dal Varesanovic;M;BIH;N;25;D;N;Pas;Vis;0
Emirhan Yılmaz;M;TUR;N;22;D;N;Arm;Fri;0
Ibrahim Olawoyin;M;NGA;N;28;D;N;Chu;Cri;0
Moussa Diakité;M;MLI;N;22;D;N;Pas;Res;0
Muhammed Baltacı;M;TUR;N;20;D;N;Chu;Fri;0
Qazim Laci;M;ALB;N;30;D;S;Arm;Res;0
Adedire Mebude;P;SCT;N;22;D;S;Arm;Res;0
Ahmed Kutucu;P;TUR;N;26;D;S;Pas;Vel;0
Emrecan Bulut;P;TUR;N;23;D;N;Cru;Vel;0
Iustin Doicaru;P;ROU;N;19;E;S;Dri;Vel;0
Mame Mor Faye;P;SEN;N;21;D;N;Pas;Cri;0
Valentin Mihăilă;P;ROU;N;26;D;N;Dri;Ace;0
Ali Sowe;A;GMB;N;32;D;S;Cab;Vel;0
Mustafa Tosun;A;TUR;N;17;D;N;Fin;Vel;0
