Sakaryaspor;TUR;53;Yeni Sakarya Atatürk Stadyumu;Ümit Bozkurt;TUR;16A450;000000;28000
Göktuğ Baytekin;G;TUR;N;21;D;S;Ref;Con;0
Yavuz Selim Tantan;G;TUR;N;19;D;N;Col;For;0
Salih Sarıkaya;L;TUR;N;28;D;S;Des;Ace;0
Ömer Çakı;L;TUR;N;26;E;N;Cru;Res;0
Evren Korkmaz;Z;TUR;N;29;D;S;Ant;For;0
Yalçın Kılınç;Z;TUR;N;37;E;S;Des;Res;0
Özgür Çoban;Z;TUR;N;19;D;N;Mar;Imp;0
Abdulkerim Canlı;V;TUR;N;28;D;S;Mar;For;0
Barış Sağır;V;TUR;N;32;D;S;Ant;Res;0
Josip Vukovic;V;HRV;N;34;A;S;Des;For;0
Hakkı Türker;M;TUR;N;27;D;N;Pas;Vis;0
Muhammet Özbaskıcı;M;TUR;N;20;D;N;Dri;Agi;0
Serkan Odabaşoğlu;M;TUR;N;31;D;S;Chu;Res;0
Hasan Bilal;P;TUR;N;28;E;N;Dri;Ace;0
Kerim Frei;P;TUR;N;32;D;S;Cru;Vel;0
Mertcan Açıkgöz;P;TUR;N;26;D;N;Arm;Agi;0
Yasin Eratilla;P;TUR;N;22;E;N;Dri;Cri;0
Berk Ünsal;A;TUR;N;32;D;S;Fin;Vel;0
Uğur Can;A;TUR;N;30;D;S;Cab;For;0
