Samsunspor;TUR;81;Samsun Yeni 19 Mayıs;Thorsten Fink;DEU;E30A17;FFFFFF;34000
Bilal Bayazıt;G;TUR;N;27;D;N;Ref;Con;0
Okan Kocuk;G;TUR;N;31;D;S;Ref;Imp;0
Enes Albak;L;TUR;N;21;E;N;Cru;Ace;0
Joe Mendes;L;SWE;N;23;D;S;Pas;For;0
Logi Tómasson;L;ISL;N;25;E;S;Mar;Agi;0
Ali Badra Diabaté;Z;CIV;N;19;E;N;Mar;For;0
Bedirhan Çetin;Z;TUR;N;20;D;N;Pos;Res;0
Gabriele Guarino;Z;ITA;N;22;D;N;Cab;For;0
Igor Drapiński;Z;POL;N;22;E;N;Cab;Imp;0
Toni Borevković;Z;HRV;N;29;D;S;Ant;Con;0
Yunus Emre Çift;Z;TUR;N;22;D;S;Des;Res;0
Elliot Watt;V;SCT;N;26;D;N;Chu;Res;0
Eyüp Değirmenci;V;TUR;N;19;D;N;Mar;For;0
Afonso Sousa;M;PRT;N;26;D;N;Pas;Agi;0
Alper Efe Pazar;M;TUR;N;21;A;N;Chu;Res;0
Antoine Sekongo;M;MLI;N;22;D;N;Arm;Agi;0
Celil Yüksel;M;TUR;N;28;D;S;Chu;Res;0
Cheick Diabate;M;CIV;N;19;D;N;Fin;Vis;0
Samed Onur;M;TUR;N;24;E;N;Pas;Res;0
Yalçın Kayan;M;TUR;N;27;E;S;Arm;Fri;0
Elayis Tavsan;P;TUR;N;25;E;S;Dri;Ace;0
Emre Kılınç;P;TUR;N;31;E;S;Dri;Ace;0
Jaurès Assoumou;P;CIV;N;23;D;N;Arm;Res;0
Oskar Øhlenschlæger;P;DNK;N;22;A;N;Pas;Agi;0
Saikuba Jarju;P;GMB;N;18;D;N;Dri;Cri;0
Tahsin Bülbül;P;TUR;N;20;D;N;Pas;Vel;0
Tanguy Coulibaly;P;FRA;N;25;E;S;Arm;Res;0
Ebrima Ceesay;A;GMB;N;20;D;N;Dri;Vel;0
Fatih Kaya;A;DEU;N;26;D;N;Pas;Imp;0
Marius Mouandilmadji;A;TCD;N;28;D;S;Chu;For;0
