Sariyer;TUR;64;Yusuf Ziya Öniş Stadyumu;Bülent Bölükbaşı;TUR;002B5E;FFFFFF;5000
Ahmet Hasan Göcen;G;TUR;N;23;D;N;Sgo;Con;0
Ibrahim Sehic;G;BIH;N;37;E;S;Ref;Con;0
Cebrail Karayel;L;TUR;N;32;D;S;Pas;Agi;0
Eşref Korkmazoğlu;L;TUR;N;32;E;S;Cru;Res;0
Hasan Berat Kayalı;L;TUR;N;21;D;N;Pos;For;0
Üzeyir Ergün;L;TUR;N;33;D;N;Mar;Ace;0
Caner Osmanpaşa;Z;TUR;N;38;D;S;Mar;For;0
Emre Oğuz;Z;TUR;N;21;E;N;Des;Vel;0
Erdi Dikmen;Z;TUR;N;29;E;N;Pos;Imp;0
Joseph Attamah;Z;GHA;N;32;D;S;Cab;For;0
Kaan Arslan;Z;TUR;N;25;D;N;Des;Con;0
André Poko;V;GAB;N;33;D;S;Pas;Con;0
Hasan Emre Yeşilyurt;V;TUR;N;26;D;N;Mar;Vis;0
Doğan Can Davas;M;TUR;N;28;D;S;Fin;Agi;0
Emirhan Özkan;M;TUR;N;17;D;N;Chu;Agi;0
İsmail Korkut;M;TUR;N;18;D;N;Arm;Cri;0
Marcos Silva;M;AGO;N;28;D;S;Arm;Fri;0
Tunahan Ergül;M;TUR;N;26;E;N;Pas;Cri;0
Yağız Şen;M;TUR;N;17;D;N;Pas;Res;0
Barış Alıcı;P;TUR;N;29;D;S;Cru;Agi;0
Efecan Karaca;P;TUR;N;36;D;S;Pas;Agi;0
Emre Can Yesilöz;P;AUT;N;23;D;N;Cru;Vel;0
Eren Karadağ;P;TUR;N;26;D;N;Arm;Vel;0
Furkan Gedik;P;TUR;N;24;E;N;Pas;Res;0
Stann Élysée Dalo;P;CIV;N;18;D;N;Fin;Ace;0
Ahmet Ekmekci;A;ROU;N;22;D;N;Pas;Res;0
Batuhan Kör;A;TUR;N;25;D;N;Cab;For;0
Berke Sanlitürk;A;DEU;N;19;A;N;Chu;Imp;0
Emeka Eze;A;NGA;N;29;D;S;Chu;For;0
Mamadou Thiam;A;SEN;N;31;D;N;Dri;Imp;0
