Serikspor;TUR;53;Serik İsmail Oğan;Cüneyt Biçer;TUR;119054;FFFFFF;2000
Baha Karakaya;G;DEU;N;21;A;N;Ref;For;0
Metin Uçar;G;TUR;N;35;D;S;Sgo;Con;0
Yusuf İslam Atay;G;TUR;N;19;D;N;Col;Imp;0
Anıl Batın Aydın;L;TUR;N;23;E;N;Mar;Res;0
Siraç Susancak;L;TUR;N;26;E;S;Des;Ace;0
Fatih Yıldırım;Z;TUR;N;28;D;N;Mar;For;0
Furkan Çolak;Z;TUR;N;21;D;N;Cab;Res;0
Mehmet Demirözü;Z;TUR;N;29;A;N;Des;Con;0
Mert İsmet Aşıcı;Z;TUR;N;22;D;N;Pos;Imp;0
Oğuz Yılmaz;Z;TUR;N;33;D;S;Cab;For;0
Sadık Çiftpınar;Z;TUR;N;33;D;S;Pos;Res;0
Alihan Erdoğan;V;TUR;N;19;D;S;Pas;Res;0
Sertan Yıldız;V;TUR;N;19;D;N;Mar;Agi;0
Alperen Köşker;M;TUR;N;23;D;N;Fin;Res;0
Emre Can Atila;M;TUR;N;29;E;N;Pas;Agi;0
Enis Ulusoy;M;TUR;N;20;D;N;Dri;Cri;0
Harun Alpsoy;M;TUR;N;29;D;N;Chu;Agi;0
Maksut Taşkıran;M;TUR;N;31;D;S;Pas;Vis;0
Ayaz Yükseloğlu;P;TUR;N;20;D;N;Dri;Ace;0
Berkan Çoban;P;TUR;N;20;D;N;Fin;Vel;0
Caner Aktaş;P;TUR;N;28;E;N;Arm;Cri;0
Erhan Çelenk;P;TUR;N;37;E;S;Pas;Res;0
Kadir Ari;P;TUR;N;31;A;S;Cru;Agi;0
Muhammed İlham Mallayev;P;TUR;N;20;D;N;Dri;Ace;0
Sadık Baş;P;TUR;N;32;D;S;Pas;Agi;0
Şahin Fıstıkcı;P;TUR;N;31;D;S;Fin;Cri;0
Ahmet Daniel Akyıldız;A;TUR;N;23;D;N;Chu;For;0
Ilya Sadygov;A;RUS;N;25;D;S;Cab;Res;0
