Vanspor;TUR;61;Van Atatürk Stadyumu;Murat Yıldırım;TUR;DA291C;000000;5500
Abdulsamed Damlu;G;TUR;N;27;E;N;Ref;Con;0
Alperen Uysal;G;TUR;N;32;D;S;Sgo;Con;0
Çınar Tuna Benzer;G;TUR;N;18;D;N;Ref;Fle;0
Batuhan İşçiler;L;TUR;N;31;E;S;Pos;Vel;0
Celal Hanalp;L;TUR;N;30;A;N;Mar;Agi;0
Faruk Can Genç;L;TUR;N;26;E;S;Des;Vel;0
Güvenç Usta;L;TUR;N;22;E;S;Des;Agi;0
Medeni Bingöl;L;TUR;N;33;D;N;Mar;Vel;0
Engin Taş;Z;TUR;N;18;D;N;Des;Res;0
Naby Oularé;Z;GIN;N;24;D;S;Des;Imp;0
Sinan Osmanoğlu;Z;TUR;N;36;D;N;Ant;Imp;0
Şahan Aslan;Z;TUR;N;16;D;N;Mar;Res;0
Anıl Yıldırım;V;TUR;N;18;D;N;Des;Agi;0
Mehmet Özcan;V;TUR;N;28;D;N;Des;Res;0
Özkan Yiğiter;V;TUR;N;26;D;S;Pas;Agi;0
Abdulsamet Kayman;M;TUR;N;20;D;N;Pas;Agi;0
Hikmet Çiftçi;M;TUR;N;28;E;N;Pas;Agi;0
Jesse Khan;M;TTO;N;22;D;N;Pas;Agi;0
Jurgen Bardhi;M;ALB;N;28;D;S;Fin;Agi;0
Ozan Kökcü;M;AZE;N;28;A;N;Pas;Vis;0
Soran Tümen;M;TUR;N;19;D;S;Pas;Agi;0
Furkan Özhan;P;TUR;N;25;E;N;Fin;Vel;0
Ilias Alhaft;P;NLD;N;29;E;N;Pas;Vel;0
Mehmet Manış;P;TUR;N;25;D;S;Fin;Vel;0
Muhammed Çoksu;P;TUR;N;19;E;N;Pas;Vel;0
Oğulcan Çağlayan;P;TUR;N;30;D;S;Pas;Ace;0
Richairo Zivkovic;P;CUW;N;29;D;N;Pas;Vel;0
Boran Yağızer;A;TUR;N;19;D;N;Cab;Res;0
Mehmet Can Davarcıoğlu;A;TUR;N;23;D;S;Pas;Vel;0
