Danubio;URY;75;Jardines del Hipódromo;Leonardo Ramos;URY;FFFFFF;000000;11000
Kevin Martínez;G;URY;N;20;D;N;Col;Imp;0
Mauro Goicoechea;G;URY;N;38;D;S;Ref;Fri;0
Facundo Balatti;L;URY;N;18;D;S;Mar;Agi;0
Leandro Sosa;L;URY;N;35;E;S;Pos;Res;0
Santiago Sosa;L;URY;N;17;E;N;Pos;Ace;0
Tomás Cavanagh;L;ARG;N;25;E;S;Des;Agi;0
Emiliano Velázquez;Z;URY;N;32;D;S;Des;For;0
Felipe Cabrera;Z;URY;N;19;D;N;Cab;Imp;0
Martín Jourdan;Z;URY;N;24;E;N;Pos;Res;0
Mateo Rinaldi;Z;ARG;N;26;D;S;Des;Imp;0
Mauro Brasil;Z;URY;N;27;D;N;Des;For;0
Iván Rossi;V;ARG;N;32;E;S;Pas;Con;0
Juan Millán;V;URY;N;24;D;N;Mar;For;0
Máximo Cabral;V;URY;N;20;D;N;Ant;Con;0
Sebastián Rodríguez;V;URY;N;33;D;S;Pas;Vis;0
Alexander Velázquez;M;URY;N;19;E;N;Dri;Agi;0
Axel Montaña;M;URY;N;20;E;N;Pas;Cri;0
Emiliano Figueroa;M;URY;N;19;D;N;Pas;Agi;0
Joaquín Trasante;M;URY;N;27;D;N;Fin;Cri;0
Mateo Peralta;M;URY;N;20;D;S;Fin;Agi;0
Enrique Femia;P;URY;N;24;D;N;Dri;Vel;0
Enzo Cabrera;P;URY;N;22;D;S;Fin;Ace;0
Maicol Ferreira;P;URY;N;28;D;S;Arm;Res;0
Tomatis;P;ARG;N;21;D;N;Fin;Res;0
Diego Píriz;A;URY;N;20;D;N;Pas;For;0
Hugo Silveira;A;URY;N;33;D;N;Fin;Fri;0
Ivo Costantino;A;ARG;N;27;D;N;Cab;For;0
John Kleber;A;BRA;N;26;D;N;Cab;Imp;0
Sebastián Fernández;A;URY;N;41;D;N;Fin;Fri;0
