Deportivo Maldonado;URY;78;Domingo Burgueño Miguel;Gabriel Di Noia;ARG;007300;FFFFFF;30000
Adriano Freitas;G;URY;N;29;D;N;Sgo;Con;0
Diego Segovia;G;URY;N;26;D;S;Ref;Fle;0
Camilo Mayada;L;URY;N;35;D;S;Pas;Res;0
Franco Marino;L;ARG;N;19;D;N;Mar;Agi;0
Juan Martín Ginzo;L;ARG;N;24;D;S;Cru;Vel;0
Juan Ramos;L;URY;N;29;E;S;Cru;For;0
Sebastián Tormo;L;URY;N;25;E;N;Des;Agi;0
Bautista Biffi;Z;ARG;N;24;E;N;Cab;Imp;0
Facundo Tealde;Z;URY;N;37;E;S;Ant;Con;0
Hernán Menosse;Z;URY;N;39;D;S;Des;For;0
Hernán Petryk;Z;URY;N;31;D;N;Mar;For;0
Joaquín Fernández;Z;URY;N;27;E;N;Pos;Vel;0
Nicolás Fuica;Z;URY;N;22;D;N;Des;For;0
Lucas Núñez;V;URY;N;25;D;N;Des;Res;0
Maximiliano González;V;ARG;N;22;D;S;Pas;Vis;0
Santiago Cartagena;V;URY;N;23;D;N;Pas;Agi;0
Sebastián González;V;URY;N;26;D;N;Ant;Con;0
Adrian Vila;M;URY;N;24;D;N;Arm;Agi;0
Bruno Centeno;M;URY;N;21;D;N;Pas;Res;0
Gonzalo Sosa;M;ARG;N;21;D;N;Dri;Cri;0
Christian Tabó;P;URY;N;32;D;S;Dri;Vel;0
Gonzalo Larrazábal;P;URY;N;23;D;N;Dri;Agi;0
Guillermo López;P;URY;N;23;D;N;Arm;Ace;0
Lautaro Ibáñez;P;URY;N;22;E;N;Dri;Agi;0
Renato César;P;URY;N;32;D;S;Fin;Ace;0
Santiago Ramírez;P;URY;N;24;E;S;Cru;Vel;0
Cayetano Bolzán;A;ARG;N;20;D;N;Fin;Vel;0
Emiliano Mozzone;A;URY;N;28;E;N;Fin;Fri;0
Maximiliano Noble;A;URY;N;28;D;S;Pas;Fri;0
