Juventud;URY;75;Juventud Parque Artigas;Sergio Blanco;URY;1A5493;FFFFFF;6000
Fabrizio Correa;G;URY;N;25;D;N;Col;Fri;0
Nicolás Ruotola;G;URY;N;21;D;N;Ref;Con;0
Sebastián Sosa;G;URY;N;39;D;S;Col;For;0
Agustín Pérez;L;URY;N;22;E;N;Pas;Vel;0
Emmanuel Más;L;ARG;N;37;E;S;Pos;For;0
Federico Barrandeguy;L;URY;N;30;D;N;Des;Vel;0
Ignacio Mujica;L;URY;N;20;D;N;Cru;Ace;0
Kevin Rolón;L;URY;N;25;E;N;Cru;Res;0
Mauricio Rodríguez;L;URY;N;21;D;N;Pas;Vel;0
Renzo Rabino;L;URY;N;28;E;S;Cru;Ace;0
David Morosini;Z;URY;N;22;D;S;Ant;Con;0
Franco Risso;Z;URY;N;23;D;N;Cab;Vel;0
Martín Cáceres;Z;URY;N;39;D;N;Pos;Res;0
Patricio Pernicone;Z;ARG;N;25;D;S;Des;For;0
Emanuel Cecchini;V;ARG;N;29;D;S;Ant;For;0
Leonel Roldán;V;ARG;N;21;D;S;Des;Vis;0
Rodrigo Chagas;V;URY;N;22;D;S;Mar;For;0
Facundo Pérez;M;URY;N;26;D;N;Chu;Agi;0
Gastón Pereiro;M;URY;N;31;E;N;Pas;Fri;0
Gonzalo Gómez;M;URY;N;21;E;N;Dri;Cri;0
Ramiro Peralta;M;ARG;N;23;D;S;Arm;Agi;0
Agustín Alaniz;P;URY;N;24;D;N;Cru;Vel;0
Alejo Cruz;P;URY;N;25;E;S;Pas;Ace;0
Bruno Arady;P;URY;N;19;D;N;Cru;Ace;0
Martín Boselli;P;URY;N;31;D;N;Cru;Vel;0
Pablo Lago;P;URY;N;19;E;N;Dri;Ace;0
Bruno Larregui;A;URY;N;25;D;N;Fin;Vel;0
Fernando Mimbacas;A;URY;N;24;E;S;Cab;Imp;0
