Liverpool-URU;URY;79;Estadio Belvedere;Jorge Fossati;URY;003591;000000;6500
Martín Campaña;G;URY;N;36;D;S;Col;Con;0
Mathías Bernatene;G;URY;N;25;D;N;Ref;Fle;0
Agustín Cayetano;L;URY;N;26;E;N;Pos;For;0
Diego Romero;L;URY;N;26;E;S;Cru;Vel;0
Facundo Perdomo;L;URY;N;26;D;S;Des;Agi;0
Jean Rosso;L;URY;N;29;D;N;Mar;Agi;0
Kevin Lewis;L;URY;N;27;E;N;Pas;Res;0
Rafael Haller;L;URY;N;25;D;N;Cru;Res;0
Enzo Castillo;Z;URY;N;25;E;S;Ant;Con;0
Santiago Laquidaín;Z;ARG;N;24;E;S;Cab;Imp;0
Santiago Strasorier;Z;ARG;N;25;D;S;Des;For;0
Santiago Milano;V;URY;N;23;D;N;Ant;Con;0
Ezequiel Olivera;M;URY;N;22;D;N;Pas;Agi;0
Gonzalo de Mello;M;URY;N;21;E;N;Pas;Cri;0
Lucas Acosta;M;URY;N;24;D;N;Fin;Agi;0
Matías Mir;M;URY;N;22;D;N;Pas;Res;0
Nicolás Garayalde;M;ARG;N;26;D;S;Arm;Vis;0
Diego Zabala;P;URY;N;34;D;S;Arm;Cri;0
Federico Martínez;P;URY;N;30;D;S;Dri;Vel;0
Ramiro Degregorio;P;ARG;N;23;D;N;Dri;Ace;0
Facundo Barceló;A;URY;N;33;D;N;Fin;Fri;0
Felipe Barrenechea;A;LTU;N;18;D;N;Cab;Imp;0
Renzo Machado;A;URY;N;20;D;S;Dri;Vel;0
Rubén Bentancourt;A;URY;N;33;D;S;Fin;For;0
