Montevideo City Torque;URY;80;Estadio Charrúa;Marcelo Méndez;URY;6CAFE0;000000;14000
Franco Torgnascioli;G;URY;N;35;D;S;Ref;For;0
Gastón Rodríguez;G;URY;N;32;D;N;Rbo;For;0
Ezequiel Busquets;L;URY;N;25;D;N;Mar;Vel;0
Facundo Silvera;L;URY;N;29;E;S;Pos;Ace;0
Franco Pizzichillo;L;URY;N;30;D;S;Cru;Ace;0
Juan Quintana;L;URY;N;26;D;N;Mar;Ace;0
Nahuel Leivas;L;URY;N;19;E;N;Cru;Agi;0
Valentino Würth;L;URY;N;18;D;N;Pas;Vel;0
Eduardo Agüero;Z;URY;N;22;D;S;Mar;Vel;0
Fabricio Silveira;Z;URY;N;21;E;N;Pos;Vel;0
Gary Kagelmacher;Z;URY;N;38;D;S;Mar;Res;0
José Tarán;Z;URY;N;21;D;N;Mar;Vel;0
Kevin Silva;Z;ARG;N;23;D;N;Des;Vel;0
Pablo Siles;V;URY;N;28;D;S;Mar;For;0
Bautista Kociubinski;M;ARG;N;24;D;S;Chu;Fri;0
Gonzalo Montes;M;URY;N;31;D;S;Pas;Res;0
Lucas Duré;M;URY;N;20;D;N;Pas;Agi;0
Sebastián Cáceres;M;URY;N;26;D;N;Pas;Cri;0
Diogo Guzmán;P;ARG;N;20;D;N;Dri;Ace;0
Esteban Obregón;P;ARG;N;24;D;S;Dri;Agi;0
Facundo Martínez;P;URY;N;18;E;N;Cru;Agi;0
Luka Andrade;P;ARG;N;19;A;N;Dri;Ace;0
Ramiro Lecchini;P;URY;N;18;D;S;Dri;Vel;0
Andrés Muñoz;A;URY;N;19;D;N;Dri;Fri;0
Nahuel Da Silva;A;URY;N;21;D;N;Dri;Vel;0
Salomón Rodríguez;A;URY;N;26;E;S;Cab;Imp;0
