Montevideo Wanderers;URY;77;Parque Alfredo Victor Viera;Mathías Corujo;URY;FFFFFF;000000;10500
Agustín Buffa;G;URY;N;28;D;S;Ref;For;0
José Río;G;URY;N;22;E;N;Ref;For;0
Alan García;L;URY;N;26;D;N;Cru;Vel;0
Darlin Mencía;L;HND;N;23;D;S;Pas;Vel;0
Guillermo Borthagaray;L;URY;N;20;E;N;Cru;Vel;0
Nahuel Furtado;L;URY;N;28;D;S;Pas;Res;0
Fabricio Formiliano;Z;URY;N;33;D;S;Des;Imp;0
Leandro Zazpe;Z;URY;N;32;E;N;Mar;Res;0
Mateo Acosta;Z;URY;N;23;D;N;Pos;Vel;0
Nicolas Cabral;Z;ARG;N;26;E;N;Mar;For;0
Paulo Lima;Z;URY;N;34;D;N;Des;Res;0
Santiago Benítez;Z;URY;N;22;D;S;Ant;Vel;0
Gonzalo Freitas;V;URY;N;34;D;N;Chu;Vis;0
Nicolás Queiróz;V;URY;N;30;D;S;Ant;Res;0
Sergi Oriol;V;ESP;N;22;D;N;Mar;Con;0
Jonás Luna;M;ARG;N;21;D;S;Pas;Agi;0
José Alberti;M;URY;N;29;D;S;Chu;Vis;0
Martín Bértola;M;URY;N;20;D;N;Pas;Agi;0
Mateo Martínez;M;URY;N;20;D;N;Chu;Cri;0
Facundo Labandeira;P;URY;N;30;D;S;Dri;Ace;0
Luciano Cosentino;P;URY;N;25;D;N;Dri;Vel;0
Pablo Suárez;P;URY;N;20;D;N;Dri;Ace;0
Renzo Sánchez;P;URY;N;22;D;N;Dri;Vel;0
Rodrigo Rivero;P;URY;N;30;E;N;Fin;Ace;0
Urretaviscaya;P;URY;N;36;D;S;Pas;Cri;0
Joaquín Zeballos;A;URY;N;29;D;S;Fin;Vel;0
Santiago Guzmán;A;URY;N;22;D;N;Fin;Vel;0
Santiago Ormeño;A;PER;N;32;E;N;Fin;For;0
