Progreso;URY;71;Parque Abraham Paladino;Tabaré Silva;URY;FFF200;E31023;5500
Agustín Requena;G;URY;N;27;E;N;Sgo;For;0
Andrés Mehring;G;ARG;N;32;D;S;Col;For;0
Renzo Bacchia;G;URY;N;27;D;N;Sgo;Con;0
Ayrton Cougo;L;URY;N;30;E;S;Cru;Vel;0
Emiliano Álvarez;L;URY;N;25;D;N;Mar;For;0
Gianfranco Trasante;L;URY;N;26;D;S;Mar;Ace;0
Federico Andueza;Z;URY;N;29;E;N;Mar;Res;0
Federico García;Z;URY;N;20;D;S;Des;Res;0
Gastón Silva;Z;URY;N;32;E;S;Ant;For;0
Hernán Carroso;Z;URY;N;20;D;S;Cab;For;0
Marco Saravia;Z;PER;N;27;D;N;Mar;Vel;0
Mauro Martín;Z;URY;N;27;D;S;Mar;Res;0
Sebastián Cardozo;Z;URY;N;30;D;N;Pos;Con;0
Agustín Pinheiro;V;URY;N;24;D;S;Ant;Agi;0
Ramiro Cristóbal;V;URY;N;30;D;N;Des;Res;0
Agustin Paz;M;ARG;N;27;D;N;Fin;Agi;0
Agustín Codagnone;M;URY;N;20;D;N;Pas;Vis;0
Gonzalo Silva;M;ARG;N;27;D;N;Fin;Cri;0
Lorenzo Couture;M;URY;N;21;D;N;Pas;Vis;0
Agustín Ocampo;P;URY;N;28;E;N;Cru;Vel;0
Facundo de León;P;URY;N;22;D;S;Cru;Vel;0
Joaquín Solleiro;P;URY;N;20;D;N;Dri;Ace;0
Nahuel Acosta;P;URY;N;27;D;N;Cru;Ace;0
Santino Bruschi;P;URY;N;20;D;N;Arm;Agi;0
Gary Silva;A;URY;N;22;D;N;Fin;Vel;0
Jonathan Dos Santos;A;URY;N;34;D;N;Dri;Fri;0
Lucas Viana;A;URY;N;22;D;N;Fin;For;0
Matteo Copelotti;A;URY;N;22;D;S;Cab;Imp;0
Maximiliano Juambeltz;A;URY;N;24;D;N;Fin;Imp;0
Nahuel López;A;URY;N;19;D;S;Dri;Fri;0
