Los Angeles;USA;83;BMO Stadium;Marc Dos Santos;CAN;16181C;C0A063;22000
Cabral Carter;G;USA;N;22;D;N;Rbo;Imp;0
Hugo Lloris;G;FRA;N;39;E;S;Ref;Fle;0
Thomas Hasal;G;CAN;N;27;D;N;Ref;For;0
Ryan Hollingshead;L;USA;N;35;D;S;Pas;Res;0
Sergi Palencia;L;ESP;N;30;D;S;Cru;Vel;0
Aaron Long;Z;USA;N;33;D;N;Mar;Vel;0
Christian Díaz;Z;USA;N;20;D;N;Mar;Imp;0
Eddie Segura;Z;COL;N;29;D;S;Ant;Vel;0
Kenny Nielsen;Z;USA;N;24;D;N;Mar;Res;0
Nkosi Tafari;Z;USA;N;29;D;S;Pos;Vel;0
Ryan Porteous;Z;SCT;N;27;D;S;Des;For;0
Yevgen Cheberko;Z;UKR;N;28;E;N;Mar;Con;0
Igor Jesus;V;BRA;N;23;D;N;Ant;For;3
Sergio Vásquez;V;ECU;N;22;D;N;Des;For;0
Jude Terry;M;USA;N;17;D;N;Pas;Agi;0
Leo Walta;M;FIN;N;23;D;N;Fin;Agi;0
Mark Delgado;M;USA;N;31;D;S;Fin;Fri;0
Mathieu Choinière;M;CAN;N;27;D;S;Chu;Fri;0
Ryan Raposo;M;CAN;N;27;A;N;Pas;Vis;0
Timothy Tillman;M;USA;N;27;D;S;Chu;Cri;0
Denis Bouanga;P;GAB;N;31;D;S;Cru;Vel;0
Heung-min Son;P;KOR;S;34;A;S;Fin;Agi;6
Jacob Shaffelburg;P;CAN;N;26;E;N;Pas;Vel;0
Tommy Mihalić;P;HRV;N;23;D;N;Fin;Vel;0
Tyler Boyd;P;USA;N;31;D;N;Cru;Cri;0
Armindo Sieb;A;DEU;N;23;A;N;Dri;Vel;0
Jeremy Ebobisse;A;USA;N;29;D;N;Fin;Fri;0
