Seattle Sounders;USA;80;Lumen Field;Brian Schmetzer;USA;2CC24B;00319B;68500
Andrew Thomas;G;USA;N;27;D;S;Sgo;For;0
Max Anchor;G;CAN;N;21;D;N;Ref;Fle;0
Stefan Frei;G;USA;N;40;D;N;Rbo;Imp;0
Kalani Kossa-Rienzi;L;USA;N;24;D;S;Cru;Vel;0
Nouhou;L;CMR;N;29;E;S;Pos;Vel;0
Álex Roldán;L;SLV;N;29;D;S;Mar;Vel;0
Antino Lopez;Z;USA;N;24;D;N;Des;For;0
Jackson Ragen;Z;USA;N;27;D;S;Mar;Vel;0
Kee-hee Kim;Z;KOR;N;37;D;N;Pos;Con;0
Ryan Sailor;Z;USA;N;27;D;N;Mar;Res;0
Stuart Hawkins;Z;USA;N;19;D;N;Pos;Con;0
Yeimar Gómez Andrade;Z;COL;N;34;D;N;Cab;Con;0
Peter Kingston;V;USA;N;25;D;N;Des;Agi;0
Snyder Brunell;V;USA;N;19;A;S;Mar;Con;0
Albert Rusnák;M;SVK;N;32;D;S;Fin;Cri;0
Cristian Roldán;M;USA;N;31;D;S;Pas;Fri;0
Hassani Dotson;M;USA;N;28;D;N;Pas;Cri;0
Nikola Petković;M;SRB;N;23;D;N;Arm;Fri;0
Sebastian Gomez;M;USA;N;20;D;N;Dri;Agi;0
Paul Arriola;P;USA;N;31;D;N;Dri;Agi;0
Paul Rothrock;P;USA;N;27;D;S;Dri;Cri;0
Pedro de la Vega;P;ARG;S;25;D;N;Dri;Cri;0
Danny Musovski;A;MKD;N;30;D;N;Pas;Vel;0
Jesús Ferreira;A;USA;N;25;D;S;Chu;For;0
Jordan Morris;A;USA;N;31;D;S;Chu;For;0
Yu Tsukanome;A;JPN;N;25;D;N;Dri;Vel;0
