Vancouver Whitecaps;USA;83;BC Place;Jesper Sørensen;DNK;FFFFFF;00235B;54500
Isaac Boehmer;G;CAN;N;24;D;N;Sgo;Fle;0
Yohei Takaoka;G;JPN;N;30;D;S;Rbo;For;0
Mihail Gherasimencov;L;MDA;N;21;E;N;Cru;Vel;0
Nikola Djordjevic;L;USA;N;23;D;N;Mar;Vel;0
Sam Adekugbe;L;CAN;N;31;E;N;Pos;For;0
Tate Johnson;L;USA;N;21;E;S;Mar;Vel;0
Édier Ocampo;L;COL;N;22;D;S;Pos;Vel;0
Belal Halbouni;Z;SYR;N;26;D;N;Cab;Res;0
Mathías Laborda;Z;URY;N;26;D;S;Mar;Res;0
Ranko Veselinović;Z;SRB;N;27;D;N;Mar;For;0
Tristan Blackmon;Z;USA;N;30;D;S;Cab;Imp;0
Aleksa Cvetkovic;V;SRB;N;21;D;N;Des;Res;0
Andrés Cubas;V;PRY;N;30;D;S;Mar;Con;0
J.C. Ngando;V;FRA;N;26;D;N;Mar;Res;0
Ralph Priso;V;CAN;N;24;E;N;Ant;Agi;0
Sebastián Ramírez;V;COL;N;20;D;N;Des;For;0
Jeevan Badwal;M;CAN;N;20;D;S;Fin;Agi;0
Liam MacKenzie;M;CAN;N;19;D;N;Pas;Fri;0
Oliver Larraz;M;USA;N;24;D;S;Dri;Fri;0
Ryan Gauld;M;SCT;N;30;E;N;Chu;Vis;0
Bruno Caicedo;P;ECU;N;21;D;N;Cru;Vel;0
Cheikh Sabaly;P;SEN;N;27;D;N;Dri;Vel;0
Emmanuel Sabbi;P;USA;N;28;D;S;Cru;Cri;0
Kenji Cabrera;P;PER;N;23;D;N;Arm;Cri;0
Rui Modesto;P;AGO;N;26;D;N;Cru;Vel;0
Brian White;A;USA;N;30;D;S;Fin;Fri;0
Kwasi Poku;A;CAN;N;23;D;N;Dri;Vel;0
Rayan Elloumi;A;TUN;N;18;D;N;Chu;Vel;0
Thomas Müller;A;DEU;S;36;D;S;Fin;Fri;6
Yadaly Diaby;A;GIN;N;26;D;N;Chu;Fri;0
